full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Gastón Ramírez,27,Premier League,2013/2014,Midfielder,Southampton,510,347,163,Uruguay,18,3,0,1,0,1,3,3,0,0,0,5,3,2,8,5,3,2,0,0.71,0.53,0.18,0,0.55,510,1.41,64,28,255,170,0.35,106,1,-1,9
Steven Davis,33,Premier League,2013/2014,Midfielder,Southampton,2499,1255,1244,Northern Ireland,34,15,13,2,2,0,6,3,3,0,0,13,5,8,33,18,15,3,0,0.29,0.22,0.07,0.14,0,1250,1.19,76,74,833,417,0.11,196,48,-1,8
Jack Cork,29,Premier League,2013/2014,Midfielder,Southampton,1732,901,831,England,28,11,10,0,0,0,0,0,0,0,0,12,4,8,25,14,11,5,0,0,0,0,0,0,0,1.3,69,62,346,0,0.26,341,335,-1,17
Kelvin Davis,42,Premier League,2013/2014,Goalkeeper,Southampton,180,90,90,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,2.5,36,90,0,0,0,-1,-1,-1,16
Nathaniel Clyne,27,Premier League,2013/2014,Defender,Southampton,1860,1060,800,England,25,11,9,0,0,0,4,3,1,0,0,11,6,5,17,10,7,3,0,0.19,0.19,0,0,0,0,0.82,109,74,620,465,0.15,371,67,17,12
Jos Hooiveld,35,Premier League,2013/2014,Defender,Southampton,270,90,180,Netherlands,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6,3,3,1,0,0,0,0,0,0,0,2,45,90,270,0,0.33,-1,-1,-1,14
Jussi Jääskeläinen,43,Premier League,2013/2014,Goalkeeper,West Ham United,1620,810,810,Finland,18,9,9,0,0,0,1,0,1,0,0,8,4,4,23,13,10,0,0,0.06,0.06,0,0,0,0,1.28,70,90,0,1620,0,344,202,77,19
Guy Roland Demel,37,Premier League,2013/2014,Defender,West Ham United,2637,1309,1328,Côte d'Ivoire,32,14,16,1,1,0,0,0,0,0,0,14,7,7,37,18,19,3,0,0.03,0,0.03,0.07,0,2637,1.26,71,82,879,0,0.1,260,336,75,14
Joey O'Brien,32,Premier League,2013/2014,Defender,West Ham United,1234,570,664,Republic of Ireland,17,6,7,0,0,0,0,0,0,0,0,6,2,4,19,11,8,4,0,0,0,0,0,0,0,1.39,65,73,309,0,0.29,372,337,105,25
James Collins,35,Premier League,2013/2014,Defender,West Ham United,1899,1037,862,Wales,24,13,9,1,1,0,0,0,0,0,0,10,5,5,23,12,11,6,0,0.05,0,0.05,0.09,0,1899,1.09,83,79,317,0,0.28,235,338,46,11
Winston Reid,30,Premier League,2013/2014,Defender,West Ham United,1674,748,926,New Zealand,22,8,10,1,0,1,0,0,0,0,0,9,4,5,22,10,12,2,0,0.05,0,0.05,0,0.1,1674,1.18,76,76,837,0,0.11,226,339,58,10
Joe Cole,37,Premier League,2013/2014,Midfielder,West Ham United,740,478,262,England,20,5,1,3,3,0,0,0,0,0,0,7,4,3,14,8,6,2,0,0.36,0,0.36,0.56,0,247,1.7,53,37,370,0,0.24,37,369,-1,6
Kevin Nolan,36,Premier League,2013/2014,Midfielder,West Ham United,2694,1404,1290,England,33,17,16,7,5,2,5,3,2,0,0,12,6,6,34,18,16,9,2,0.4,0.17,0.23,0.32,0.14,385,1.14,79,82,245,539,0.37,77,80,-1,1
Mark Noble,31,Premier League,2013/2014,Midfielder,West Ham United,3344,1695,1649,England,38,19,19,3,2,1,4,2,2,2,0,14,7,7,45,23,22,8,1,0.19,0.11,0.08,0.11,0.05,1115,1.21,74,88,418,836,0.22,183,133,-1,4
Matt Jarvis,32,Premier League,2013/2014,Midfielder,West Ham United,1950,1011,939,England,32,13,10,2,1,1,3,2,1,0,0,13,7,6,24,14,10,1,0,0.23,0.14,0.09,0.09,0.1,975,1.11,81,61,1950,650,0.05,168,103,-1,7
Mohamed Diamé,31,Premier League,2013/2014,Midfielder,West Ham United,2483,1275,1208,Senegal,35,14,15,4,2,2,1,1,0,0,0,11,6,5,43,22,21,4,0,0.18,0.04,0.14,0.14,0.15,621,1.56,58,71,621,2483,0.14,127,220,-1,3
Modibo Maïga,31,Premier League,2013/2014,Forward,West Ham United,1006,508,498,Mali,14,5,6,1,1,0,2,1,1,0,0,5,3,2,14,4,10,0,0,0.27,0.18,0.09,0.18,0,1006,1.25,72,72,0,503,0,163,73,-1,12
Stewart Downing,34,Premier League,2013/2014,Midfielder,West Ham United,2510,1240,1270,England,32,14,15,1,1,0,2,1,1,0,0,12,6,6,28,15,13,0,0,0.11,0.07,0.04,0.07,0,2510,1,90,78,0,1255,0,245,173,-1,13
Alou Diarra,37,Premier League,2013/2014,Midfielder,West Ham United,113,8,105,France,3,0,1,0,0,0,0,0,0,0,0,2,1,1,2,0,2,1,0,0,0,0,0,0,0,1.59,57,38,113,0,0.8,-1,-1,-1,24
Ricardo Jorge Vaz Té,32,Premier League,2013/2014,Forward,West Ham United,256,83,173,Portugal,8,1,2,2,1,1,0,0,0,0,0,4,1,3,4,4,0,0,0,0.7,0,0.7,1.08,0.52,128,1.41,64,32,0,0,0,-1,-1,-1,9
James Tomkins,29,Premier League,2013/2014,Defender,West Ham United,2602,1271,1331,England,31,15,16,0,0,0,0,0,0,0,0,11,6,5,36,16,20,7,1,0,0,0,0,0,0,1.25,72,84,372,0,0.24,401,342,73,23
Răzvan Dincă Raț,37,Premier League,2013/2014,Defender,West Ham United,1132,502,630,Romania,15,5,6,0,0,0,0,0,0,0,0,5,1,4,19,14,5,1,0,0,0,0,0,0,0,1.51,60,75,1132,0,0.08,403,370,130,22
Adrián San Miguel del Castillo,31,Premier League,2013/2014,Goalkeeper,West Ham United,1800,900,900,Spain,20,10,10,0,0,0,0,0,0,0,0,6,3,3,26,12,14,2,0,0,0,0,0,0,0,1.3,69,90,900,0,0.1,404,400,82,21
Ravel Morrison,25,Premier League,2013/2014,Midfielder,West Ham United,1154,534,620,England,16,5,7,3,1,2,2,2,0,0,0,7,3,4,17,10,7,5,0,0.39,0.16,0.23,0.17,0.29,385,1.33,68,72,231,577,0.39,80,86,-1,5
David Marshall,33,Premier League,2013/2014,Goalkeeper,Cardiff City,3330,1710,1620,Scotland,37,19,18,0,0,0,0,0,0,0,0,7,4,3,63,29,34,2,0,0,0,0,0,0,0,1.7,53,90,1665,0,0.05,405,402,146,16
Matthew Connolly,31,Premier League,2013/2014,Defender,Cardiff City,270,180,90,England,3,2,1,0,0,0,0,0,0,0,0,1,1,0,3,1,2,2,0,0,0,0,0,0,0,1,90,90,135,0,0.67,-1,-1,-1,20
Ben Turner,30,Premier League,2013/2014,Defender,Cardiff City,2721,1350,1371,England,31,15,15,0,0,0,1,0,1,0,0,6,4,2,46,18,28,5,0,0.03,0.03,0,0,0,0,1.52,59,88,544,2721,0.17,406,243,131,23
Gary Alexis Medel Soto,31,Premier League,2013/2014,Defender,Cardiff City,2873,1399,1474,Chile,34,16,18,0,0,0,1,0,1,0,0,7,4,3,49,20,29,6,0,0.03,0.03,0,0,0,0,1.53,59,85,479,2873,0.19,407,241,132,22
Steven Caulker,26,Premier League,2013/2014,Defender,Cardiff City,3420,1710,1710,England,38,19,19,5,3,2,0,0,0,0,0,7,4,3,64,29,35,1,0,0.13,0,0.13,0.16,0.11,684,1.68,53,90,3420,0,0.03,136,403,144,4
Declan John,23,Premier League,2013/2014,Defender,Cardiff City,1487,655,832,Wales,20,7,9,0,0,0,0,0,0,0,0,2,1,1,26,10,16,0,0,0,0,0,0,0,0,1.57,57,74,0,0,0,408,404,135,21
Peter Whittingham,34,Premier League,2013/2014,Midfielder,Cardiff City,2661,1209,1452,England,32,14,16,3,2,1,6,3,3,1,0,6,3,3,46,16,30,3,0,0.3,0.2,0.1,0.15,0.06,887,1.56,58,83,887,444,0.1,158,58,-1,5
Aron Einar Gunnarsson,29,Premier League,2013/2014,Midfielder,Cardiff City,1539,603,936,Iceland,23,6,11,1,1,0,2,0,2,0,0,5,3,2,28,9,19,1,0,0.18,0.12,0.06,0.15,0,1539,1.64,55,67,1539,770,0.06,208,121,-1,9
Bo-Kyung Kim,29,Premier League,2013/2014,Midfielder,Cardiff City,1678,792,886,South Korea,28,10,11,1,1,0,0,0,0,0,0,5,3,2,27,11,16,4,0,0.05,0,0.05,0.11,0,1678,1.45,62,60,420,0,0.21,223,405,-1,10
Craig Bellamy,39,Premier League,2013/2014,Forward,Cardiff City,1251,650,601,Wales,22,7,6,2,2,0,1,1,0,0,0,4,2,2,24,9,15,3,0,0.22,0.07,0.14,0.28,0,626,1.73,52,57,417,1251,0.22,130,168,-1,7
Fraizer Campbell,31,Premier League,2013/2014,Forward,Cardiff City,2772,1416,1356,England,37,17,15,6,5,1,2,2,0,0,0,7,4,3,51,26,25,4,0,0.26,0.06,0.19,0.32,0.07,462,1.66,54,75,693,1386,0.13,105,198,-1,3
Jordon Mutch,26,Premier League,2013/2014,Midfielder,Cardiff City,2260,1085,1175,England,35,13,13,7,3,4,5,5,0,0,0,7,4,3,47,21,26,5,0,0.48,0.2,0.28,0.25,0.31,323,1.87,48,65,452,452,0.2,60,57,-1,2
Mark Hudson,36,Premier League,2013/2014,Defender,Cardiff City,147,78,69,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1.84,49,74,0,0,0,-1,-1,-1,24
Don Cowie,35,Premier League,2013/2014,Midfielder,Cardiff City,964,445,519,Scotland,18,4,6,0,0,0,2,1,1,0,0,4,2,2,23,12,11,1,0,0.19,0.19,0,0,0,0,2.15,42,54,964,482,0.09,409,65,-1,19
Joe Lewis,31,Premier League,2013/2014,Goalkeeper,Cardiff City,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,18
Michel Vorm,35,Premier League,2013/2014,Goalkeeper,Swansea City,2340,1170,1170,Netherlands,26,13,13,0,0,0,0,0,0,0,0,7,5,2,30,12,18,3,1,0,0,0,0,0,0,1.15,78,90,585,0,0.15,410,406,54,16
Ashley Williams,34,Premier League,2013/2014,Defender,Swansea City,3040,1510,1530,Wales,34,17,17,1,0,1,1,0,1,0,0,7,5,2,45,20,25,5,0,0.06,0.03,0.03,0,0.06,3040,1.33,68,89,608,3040,0.15,256,245,90,12
Àngel Rangel Zaragoza,36,Premier League,2013/2014,Defender,Swansea City,2632,1247,1385,Spain,30,14,15,0,0,0,1,0,1,0,0,7,5,2,39,18,21,8,0,0.03,0.03,0,0,0,0,1.33,67,88,329,2632,0.27,411,246,89,23
