Rank,Crest,Team,Matches,Win,Draw,Loss,GF,GA,GD,Pts,Last 5,PPG,CS,BTTS,FTS,YC / RC,Corners / Match,1.5+Over 1.5 (1.5+),2.5+Over 2.5 (2.5+),AVG
1,"",LA Galaxy,39,20,11,8,78,40,+38,71,DReal Salt LakeMLS0 - 0FT( HT : 0 - 0 )LA GalaxyWLA GalaxyMLS5 - 0FT( HT : 2 - 0 )Real Salt LakeWLA GalaxyMLS1 - 0FT( HT : 0 - 0 )Seattle SoundersLSeattle SoundersMLS2 - 1FT( HT : 2 - 0 )LA GalaxyWLA GalaxyMLS2 - 1FT( HT : 0 - 0 )New England,1.82,33%,56%,13%,"","",79%,62%,3.03
2,"",Seattle Sounders FC,38,21,6,11,68,53,+15,69,WSeattle SoundersMLS2 - 0FT( HT : 0 - 0 )LA GalaxyDDallasMLS1 - 1FT( HT : 1 - 0 )Seattle SoundersDSeattle SoundersMLS0 - 0FT( HT : 0 - 0 )DallasLLA GalaxyMLS1 - 0FT( HT : 0 - 0 )Seattle SoundersWSeattle SoundersMLS2 - 1FT( HT : 2 - 0 )LA Galaxy,1.82,26%,58%,18%,"","",76%,61%,3.18
3,"",New England Revolution,39,20,5,14,63,54,+9,65,WColumbus CrewMLS2 - 4FT( HT : 0 - 1 )New EnglandWNew EnglandMLS3 - 1FT( HT : 1 - 0 )Columbus CrewWNew York RBMLS1 - 2FT( HT : 1 - 1 )New EnglandDNew EnglandMLS2 - 2FT( HT : 1 - 1 )New York RBLLA GalaxyMLS2 - 1FT( HT : 0 - 0 )New England,1.67,21%,59%,23%,"","",85%,64%,3.00
4,"",DC United,36,18,8,10,54,40,+14,62,WHouston DynamoMLS1 - 3FT( HT : 0 - 1 )DC UnitedWDC UnitedMLS2 - 1FT( HT : 1 - 0 )Chicago FireDMontreal ImpactMLS1 - 1FT( HT : 1 - 0 )DC UnitedLNew York RBMLS2 - 0FT( HT : 1 - 0 )DC UnitedWDC UnitedMLS2 - 1FT( HT : 1 - 0 )New York RB,1.72,33%,47%,28%,"","",69%,50%,2.61
5,"",FC Dallas,37,17,8,12,58,47,+11,59,WColorado RapidsMLS0 - 1FT( HT : 0 - 0 )DallasLDallasMLS0 - 2FT( HT : 0 - 1 )Portland TimbersWDallasMLS2 - 1FT( HT : 1 - 0 )Vancouver WhitecapsDDallasMLS1 - 1FT( HT : 1 - 0 )Seattle SoundersDSeattle SoundersMLS0 - 0FT( HT : 0 - 0 )Dallas,1.59,19%,70%,19%,"","",81%,65%,2.84
6,"",Real Salt Lake,36,15,12,9,54,44,+10,57,WReal Salt LakeMLS2 - 0FT( HT : 2 - 0 )SJ EarthquakesDPortland TimbersMLS0 - 0FT( HT : 0 - 0 )Real Salt LakeWReal Salt LakeMLS2 - 0FT( HT : 1 - 0 )Chivas USADReal Salt LakeMLS0 - 0FT( HT : 0 - 0 )LA GalaxyLLA GalaxyMLS5 - 0FT( HT : 2 - 0 )Real Salt Lake,1.58,31%,56%,25%,"","",72%,53%,2.72
7,"",New York Red Bulls,39,15,12,12,63,57,+6,57,WNew York RBMLS2 - 1FT( HT : 0 - 0 )Sporting KCWNew York RBMLS2 - 0FT( HT : 1 - 0 )DC UnitedLDC UnitedMLS2 - 1FT( HT : 1 - 0 )New York RBLNew York RBMLS1 - 2FT( HT : 1 - 1 )New EnglandDNew EnglandMLS2 - 2FT( HT : 1 - 1 )New York RB,1.46,18%,69%,13%,"","",87%,56%,3.08
8,"",Columbus Crew,36,14,10,12,55,49,+6,52,WPhiladelphia UnionMLS2 - 3FT( HT : 0 - 0 )Columbus CrewWNew York RBMLS1 - 3FT( HT : 0 - 2 )Columbus CrewWColumbus CrewMLS2 - 1FT( HT : 1 - 0 )Philadelphia UnionLColumbus CrewMLS2 - 4FT( HT : 0 - 1 )New EnglandLNew EnglandMLS3 - 1FT( HT : 1 - 0 )Columbus Crew,1.44,22%,64%,19%,"","",86%,56%,2.89
9,"",Vancouver Whitecaps FC,35,12,14,9,43,42,+1,50,WVancouver WhitecapsMLS2 - 0FT( HT : 2 - 0 )DallasWSeattle SoundersMLS0 - 1FT( HT : 0 - 1 )Vancouver WhitecapsDSJ EarthquakesMLS0 - 0FT( HT : 0 - 0 )Vancouver WhitecapsWVancouver WhitecapsMLS1 - 0FT( HT : 0 - 0 )Colorado RapidsLDallasMLS2 - 1FT( HT : 1 - 0 )Vancouver Whitecaps,1.43,37%,49%,31%,"","",69%,46%,2.43
10,"",Portland Timbers,34,12,13,9,61,52,+9,49,LTorontoMLS3 - 2FT( HT : 0 - 2 )Portland TimbersWSJ EarthquakesMLS1 - 2FT( HT : 0 - 0 )Portland TimbersWPortland TimbersMLS3 - 0FT( HT : 1 - 0 )SJ EarthquakesDPortland TimbersMLS0 - 0FT( HT : 0 - 0 )Real Salt LakeWDallasMLS0 - 2FT( HT : 0 - 1 )Portland Timbers,1.44,21%,68%,15%,"","",91%,59%,3.32
11,"",Sporting Kansas City,35,14,7,14,49,43,+6,49,DDC UnitedMLS0 - 0FT( HT : 0 - 0 )Sporting KCWSporting KCMLS2 - 0FT( HT : 0 - 0 )Chicago FireLPhiladelphia UnionMLS2 - 1FT( HT : 1 - 0 )Sporting KCLSporting KCMLS0 - 2FT( HT : 0 - 1 )New York RBLNew York RBMLS2 - 1FT( HT : 0 - 0 )Sporting KC,1.40,29%,54%,23%,"","",83%,54%,2.63
12,"",Philadelphia Union,34,10,12,12,51,51,0,42,LDC UnitedMLS1 - 0FT( HT : 1 - 0 )Philadelphia UnionDPhiladelphia UnionMLS1 - 1FT( HT : 0 - 0 )Chicago FireLPhiladelphia UnionMLS2 - 3FT( HT : 0 - 0 )Columbus CrewWPhiladelphia UnionMLS2 - 1FT( HT : 1 - 0 )Sporting KCLColumbus CrewMLS2 - 1FT( HT : 1 - 0 )Philadelphia Union,1.24,18%,71%,18%,"","",79%,59%,3.00
13,"",Toronto FC,34,11,8,15,44,54,-10,41,LLA GalaxyMLS3 - 0FT( HT : 2 - 0 )TorontoLTorontoMLS0 - 1FT( HT : 0 - 1 )Houston DynamoLNew York RBMLS3 - 1FT( HT : 3 - 0 )TorontoDTorontoMLS1 - 1FT( HT : 1 - 1 )Montreal ImpactLNew EnglandMLS1 - 0FT( HT : 1 - 0 )Toronto,1.21,18%,56%,26%,"","",82%,59%,2.88
14,"",Houston Dynamo,34,11,6,17,39,58,-19,39,LNew York RBMLS1 - 0FT( HT : 0 - 0 )Houston DynamoWTorontoMLS0 - 1FT( HT : 0 - 1 )Houston DynamoLHouston DynamoMLS1 - 3FT( HT : 0 - 1 )DC UnitedLHouston DynamoMLS1 - 2FT( HT : 1 - 0 )New EnglandLChicago FireMLS2 - 1FT( HT : 0 - 1 )Houston Dynamo,1.15,29%,41%,35%,"","",76%,56%,2.85
