Rank,Crest,Team,Matches,Win,Draw,Loss,GF,GA,GD,Pts,Last 5,PPG,CS,BTTS,FTS,YC / RC,Corners / Match,1.5+Over 1.5 (1.5+),2.5+Over 2.5 (2.5+),AVG
1,"",Atlanta United FC,39,25,6,8,79,46,+33,81,WNew York CityMLS0 - 1FT( HT : 0 - 1 )Atlanta UnitedWAtlanta UnitedMLS3 - 1FT( HT : 2 - 1 )New York CityWAtlanta UnitedMLS3 - 0FT( HT : 1 - 0 )New York RBLNew York RBMLS1 - 0FT( HT : 0 - 0 )Atlanta UnitedWAtlanta UnitedMLS2 - 0FT( HT : 1 - 0 )Portland Timbers,2.08,28%,62%,10%,"","",92%,64%,3.21
2,"",New York Red Bulls,38,24,5,9,66,37,+29,77,WNew York RBMLS1 - 0FT( HT : 0 - 0 )Orlando CityLColumbus CrewMLS1 - 0FT( HT : 0 - 0 )New York RBWNew York RBMLS3 - 0FT( HT : 1 - 0 )Columbus CrewLAtlanta UnitedMLS3 - 0FT( HT : 1 - 0 )New York RBWNew York RBMLS1 - 0FT( HT : 0 - 0 )Atlanta United,2.03,45%,42%,16%,"","",68%,55%,2.71
3,"",Sporting Kansas City,38,19,10,9,72,46,+26,67,WSporting KCMLS2 - 1FT( HT : 1 - 0 )Los Angeles FCDReal Salt LakeMLS1 - 1FT( HT : 0 - 0 )Sporting KCWSporting KCMLS4 - 2FT( HT : 2 - 0 )Real Salt LakeDPortland TimbersMLS0 - 0FT( HT : 0 - 0 )Sporting KCLSporting KCMLS2 - 3FT( HT : 1 - 0 )Portland Timbers,1.76,37%,53%,18%,"","",79%,50%,3.11
4,"",Portland Timbers,40,18,10,12,63,57,+6,64,WPortland TimbersMLS2 - 1FT( HT : 2 - 1 )Seattle SoundersLSeattle SoundersMLS3 - 2FT( HT : 0 - 0 )Portland TimbersDPortland TimbersMLS0 - 0FT( HT : 0 - 0 )Sporting KCWSporting KCMLS2 - 3FT( HT : 1 - 0 )Portland TimbersLAtlanta UnitedMLS2 - 0FT( HT : 1 - 0 )Portland Timbers,1.60,28%,63%,20%,"","",83%,65%,3.00
5,"",Seattle Sounders FC,36,19,5,12,56,41,+15,62,WOrlando CityMLS1 - 2FT( HT : 0 - 2 )Seattle SoundersWHouston DynamoMLS2 - 3FT( HT : 0 - 1 )Seattle SoundersWSeattle SoundersMLS2 - 1FT( HT : 0 - 0 )SJ EarthquakesLPortland TimbersMLS2 - 1FT( HT : 2 - 1 )Seattle SoundersWSeattle SoundersMLS3 - 2FT( HT : 0 - 0 )Portland Timbers,1.72,19%,56%,31%,"","",72%,61%,2.69
6,"",New York City FC,37,17,8,12,63,50,+13,59,LDC UnitedMLS3 - 1FT( HT : 2 - 0 )New York CityWNew York CityMLS3 - 1FT( HT : 3 - 1 )Philadelphia UnionWNew York CityMLS3 - 1FT( HT : 2 - 0 )Philadelphia UnionLNew York CityMLS0 - 1FT( HT : 0 - 1 )Atlanta UnitedLAtlanta UnitedMLS3 - 1FT( HT : 2 - 1 )New York City,1.59,27%,59%,14%,"","",92%,65%,3.05
7,"",Los Angeles FC,35,16,9,10,70,55,+15,57,WColorado RapidsMLS0 - 3FT( HT : 0 - 2 )Los Angeles FCWLos Angeles FCMLS4 - 2FT( HT : 1 - 1 )Houston DynamoDLos Angeles FCMLS2 - 2FT( HT : 2 - 1 )Vancouver WhitecapsLSporting KCMLS2 - 1FT( HT : 1 - 0 )Los Angeles FCLLos Angeles FCMLS2 - 3FT( HT : 1 - 1 )Real Salt Lake,1.63,29%,66%,9%,"","",91%,60%,3.57
8,"",FC Dallas,35,16,9,10,53,46,+7,57,WDallasMLS2 - 0FT( HT : 0 - 0 )Orlando CityLDC UnitedMLS1 - 0FT( HT : 0 - 0 )DallasLDallasMLS0 - 3FT( HT : 0 - 1 )Sporting KCLColorado RapidsMLS2 - 1FT( HT : 0 - 1 )DallasLDallasMLS1 - 2FT( HT : 0 - 1 )Portland Timbers,1.63,29%,60%,17%,"","",83%,51%,2.83
9,"",Columbus Crew,37,15,10,12,46,50,-4,55,LOrlando CityMLS2 - 1FT( HT : 0 - 0 )Columbus CrewWColumbus CrewMLS3 - 2FT( HT : 1 - 0 )Minnesota UnitedDDC UnitedMLS2 - 2FT( HT : 1 - 1 )Columbus CrewWColumbus CrewMLS1 - 0FT( HT : 0 - 0 )New York RBLNew York RBMLS3 - 0FT( HT : 1 - 0 )Columbus Crew,1.49,30%,49%,35%,"","",70%,54%,2.59
10,"",Real Salt Lake,37,15,8,14,61,65,-4,53,WReal Salt LakeMLS4 - 1FT( HT : 3 - 0 )New EnglandLPortland TimbersMLS3 - 0FT( HT : 1 - 0 )Real Salt LakeWLos Angeles FCMLS2 - 3FT( HT : 1 - 1 )Real Salt LakeDReal Salt LakeMLS1 - 1FT( HT : 0 - 0 )Sporting KCLSporting KCMLS4 - 2FT( HT : 2 - 0 )Real Salt Lake,1.43,19%,65%,19%,"","",92%,62%,3.41
11,"",DC United,35,14,10,11,62,52,+10,52,WDC UnitedMLS1 - 0FT( HT : 0 - 0 )DallasWDC UnitedMLS1 - 0FT( HT : 1 - 0 )TorontoWDC UnitedMLS3 - 1FT( HT : 2 - 0 )New York CityDChicago FireMLS0 - 0FT( HT : 0 - 0 )DC UnitedDDC UnitedMLS2 - 2FT( HT : 1 - 1 )Columbus Crew,1.49,17%,71%,14%,"","",80%,63%,3.26
