Rank,Crest,Team,Matches,Win,Draw,Loss,GF,GA,GD,Pts,Last 5,PPG,CS,BTTS,FTS,YC / RC,Corners / Match,1.5+Over 1.5 (1.5+),2.5+Over 2.5 (2.5+),AVG
12,"",Philadelphia Union,35,15,5,15,50,53,-3,50,DColumbus CrewMLS0 - 0FT( HT : 0 - 0 )Philadelphia UnionWPhiladelphia UnionMLS5 - 1FT( HT : 4 - 0 )Minnesota UnitedLPhiladelphia UnionMLS0 - 1FT( HT : 0 - 0 )New York RBLNew York CityMLS3 - 1FT( HT : 3 - 1 )Philadelphia UnionLNew York CityMLS3 - 1FT( HT : 2 - 0 )Philadelphia Union,1.43,31%,43%,34%,"","",80%,51%,2.94
13,"",LA Galaxy,34,13,9,12,66,64,+2,48,WLA GalaxyMLS3 - 0FT( HT : 2 - 0 )Seattle SoundersWLA GalaxyMLS3 - 0FT( HT : 1 - 0 )Vancouver WhitecapsDSporting KCMLS1 - 1FT( HT : 0 - 1 )LA GalaxyWMinnesota UnitedMLS1 - 3FT( HT : 0 - 1 )LA GalaxyLLA GalaxyMLS2 - 3FT( HT : 2 - 0 )Houston Dynamo,1.41,24%,68%,12%,"","",88%,74%,3.82
14,"",Vancouver Whitecaps FC,34,13,8,13,54,67,-13,47,LLA GalaxyMLS3 - 0FT( HT : 1 - 0 )Vancouver WhitecapsWTorontoMLS1 - 2FT( HT : 0 - 1 )Vancouver WhitecapsLVancouver WhitecapsMLS1 - 4FT( HT : 1 - 0 )Sporting KCDLos Angeles FCMLS2 - 2FT( HT : 2 - 1 )Vancouver WhitecapsWVancouver WhitecapsMLS2 - 1FT( HT : 2 - 0 )Portland Timbers,1.38,6%,74%,24%,"","",91%,82%,3.56
15,"",Montreal Impact,34,14,4,16,47,53,-6,46,DMontreal ImpactMLS1 - 1FT( HT : 1 - 1 )New York CityLDC UnitedMLS5 - 0FT( HT : 1 - 0 )Montreal ImpactWMontreal ImpactMLS3 - 0FT( HT : 2 - 0 )Columbus CrewWMontreal ImpactMLS2 - 0FT( HT : 0 - 0 )TorontoLNew EnglandMLS1 - 0FT( HT : 0 - 0 )Montreal Impact,1.35,29%,44%,26%,"","",82%,53%,2.94
16,"",New England Revolution,34,10,11,13,49,55,-6,41,LTorontoMLS4 - 1FT( HT : 1 - 1 )New EnglandLAtlanta UnitedMLS2 - 1FT( HT : 1 - 0 )New EnglandWNew EnglandMLS2 - 0FT( HT : 0 - 0 )Orlando CityLReal Salt LakeMLS4 - 1FT( HT : 3 - 0 )New EnglandWNew EnglandMLS1 - 0FT( HT : 0 - 0 )Montreal Impact,1.21,21%,62%,21%,"","",79%,53%,3.06
17,"",Houston Dynamo,34,10,8,16,58,58,0,38,WHouston DynamoMLS3 - 2FT( HT : 0 - 2 )SJ EarthquakesLSeattle SoundersMLS4 - 1FT( HT : 2 - 0 )Houston DynamoLLos Angeles FCMLS4 - 2FT( HT : 1 - 1 )Houston DynamoLHouston DynamoMLS2 - 3FT( HT : 0 - 1 )Seattle SoundersWLA GalaxyMLS2 - 3FT( HT : 2 - 0 )Houston Dynamo,1.12,15%,71%,21%,"","",82%,71%,3.41
18,"",Toronto FC,34,10,6,18,59,64,-5,36,WTorontoMLS4 - 1FT( HT : 1 - 1 )New EnglandLTorontoMLS1 - 2FT( HT : 0 - 1 )Vancouver WhitecapsLDC UnitedMLS1 - 0FT( HT : 1 - 0 )TorontoLMontreal ImpactMLS2 - 0FT( HT : 0 - 0 )TorontoWTorontoMLS4 - 1FT( HT : 2 - 0 )Atlanta United,1.06,9%,65%,26%,"","",88%,68%,3.62
19,"",Minnesota United FC,34,11,3,20,49,71,-22,36,WMinnesota UnitedMLS2 - 1FT( HT : 2 - 0 )New York CityLPhiladelphia UnionMLS5 - 1FT( HT : 4 - 0 )Minnesota UnitedLMinnesota UnitedMLS0 - 2FT( HT : 0 - 0 )Colorado RapidsLMinnesota UnitedMLS1 - 3FT( HT : 0 - 1 )LA GalaxyLColumbus CrewMLS3 - 2FT( HT : 1 - 0 )Minnesota United,1.06,6%,71%,24%,"","",91%,71%,3.53
20,"",Chicago Fire,34,8,8,18,48,61,-13,32,LNew York CityMLS2 - 0FT( HT : 0 - 0 )Chicago FireWChicago FireMLS3 - 1FT( HT : 2 - 0 )Los Angeles FCLDC UnitedMLS2 - 1FT( HT : 0 - 0 )Chicago FireLAtlanta UnitedMLS2 - 1FT( HT : 2 - 1 )Chicago FireDChicago FireMLS0 - 0FT( HT : 0 - 0 )DC United,0.94,12%,74%,18%,"","",85%,74%,3.21
21,"",Colorado Rapids,34,8,7,19,36,63,-27,31,LSeattle SoundersMLS4 - 0FT( HT : 1 - 0 )Colorado RapidsLColorado RapidsMLS0 - 3FT( HT : 0 - 2 )Los Angeles FCWMinnesota UnitedMLS0 - 2FT( HT : 0 - 0 )Colorado RapidsDSJ EarthquakesMLS0 - 0FT( HT : 0 - 0 )Colorado RapidsWColorado RapidsMLS2 - 1FT( HT : 0 - 1 )Dallas,0.91,18%,53%,35%,"","",88%,71%,2.91
22,"",Orlando City SC,34,8,4,22,43,74,-31,28,LDallasMLS2 - 0FT( HT : 0 - 0 )Orlando CityLNew EnglandMLS2 - 0FT( HT : 0 - 0 )Orlando CityLOrlando CityMLS1 - 2FT( HT : 0 - 2 )Seattle SoundersWOrlando CityMLS2 - 1FT( HT : 0 - 0 )Columbus CrewLNew York RBMLS1 - 0FT( HT : 0 - 0 )Orlando City,0.82,6%,62%,35%,"","",91%,71%,3.44
23,"",San Jose Earthquakes,34,4,9,21,49,71,-22,21,LLos Angeles FCMLS2 - 0FT( HT : 1 - 0 )SJ EarthquakesLHouston DynamoMLS3 - 2FT( HT : 0 - 2 )SJ EarthquakesLSJ EarthquakesMLS1 - 3FT( HT : 0 - 2 )New York RBDSJ EarthquakesMLS0 - 0FT( HT : 0 - 0 )Colorado RapidsLSeattle SoundersMLS2 - 1FT( HT : 0 - 0 )SJ Earthquakes,0.62,6%,79%,21%,"","",85%,71%,3.53
