Rank,Crest,Team,Matches,Win,Draw,Loss,GF,GA,GD,Pts,Last 5,PPG,CS,BTTS,FTS,YC / RC,Corners / Match,1.5+Over 1.5 (1.5+),2.5+Over 2.5 (2.5+),AVG
1,"",Real Salt Lake,39,19,9,11,65,45,+20,66,LLA GalaxyMLS1 - 0FT( HT : 0 - 0 )Real Salt LakeWReal Salt LakeMLS2 - 0FT( HT : 1 - 0 )LA GalaxyWReal Salt LakeMLS4 - 2FT( HT : 2 - 1 )Portland TimbersWPortland TimbersMLS0 - 1FT( HT : 0 - 1 )Real Salt LakeDSporting KCMLS1 - 1FT( HT : 0 - 0 )Real Salt Lake,1.69,33%,51%,18%,"","",77%,46%,2.82
2,"",Sporting Kansas City,39,19,9,11,54,35,+19,66,LNew EnglandMLS2 - 1FT( HT : 0 - 0 )Sporting KCWSporting KCMLS3 - 1FT( HT : 1 - 0 )New EnglandDHouston DynamoMLS0 - 0FT( HT : 0 - 0 )Sporting KCWSporting KCMLS2 - 1FT( HT : 1 - 1 )Houston DynamoDSporting KCMLS1 - 1FT( HT : 0 - 0 )Real Salt Lake,1.69,36%,49%,26%,"","",64%,49%,2.28
3,"",Portland Timbers,38,16,15,7,61,41,+20,63,WChivas USAMLS0 - 5FT( HT : 0 - 3 )Portland TimbersWSeattle SoundersMLS1 - 2FT( HT : 0 - 1 )Portland TimbersWPortland TimbersMLS3 - 2FT( HT : 2 - 0 )Seattle SoundersLReal Salt LakeMLS4 - 2FT( HT : 2 - 1 )Portland TimbersLPortland TimbersMLS0 - 1FT( HT : 0 - 1 )Real Salt Lake,1.66,39%,53%,18%,"","",68%,50%,2.68
4,"",New York Red Bulls,36,17,9,10,61,45,+16,60,DNew York RBMLS2 - 2FT( HT : 1 - 0 )New EnglandWHouston DynamoMLS0 - 3FT( HT : 0 - 1 )New York RBWNew York RBMLS5 - 2FT( HT : 1 - 1 )Chicago FireDHouston DynamoMLS2 - 2FT( HT : 0 - 2 )New York RBLNew York RBMLS1 - 2FT( HT : 1 - 1 )Houston Dynamo,1.67,31%,56%,22%,"","",78%,58%,2.94
5,"",Houston Dynamo,39,16,11,12,49,46,+3,59,WHouston DynamoMLS3 - 0FT( HT : 2 - 0 )Montreal ImpactDHouston DynamoMLS2 - 2FT( HT : 0 - 2 )New York RBWNew York RBMLS1 - 2FT( HT : 1 - 1 )Houston DynamoDHouston DynamoMLS0 - 0FT( HT : 0 - 0 )Sporting KCLSporting KCMLS2 - 1FT( HT : 1 - 1 )Houston Dynamo,1.51,28%,49%,31%,"","",77%,41%,2.44
6,"",LA Galaxy,36,16,8,12,54,40,+14,56,WLA GalaxyMLS1 - 0FT( HT : 0 - 0 )Montreal ImpactDLA GalaxyMLS0 - 0FT( HT : 0 - 0 )SJ EarthquakesDSeattle SoundersMLS1 - 1FT( HT : 1 - 0 )LA GalaxyWLA GalaxyMLS1 - 0FT( HT : 0 - 0 )Real Salt LakeLReal Salt LakeMLS2 - 0FT( HT : 1 - 0 )LA Galaxy,1.56,39%,39%,28%,"","",67%,44%,2.61
7,"",Seattle Sounders FC,37,16,7,14,47,47,0,55,LDallasMLS2 - 0FT( HT : 0 - 0 )Seattle SoundersDSeattle SoundersMLS1 - 1FT( HT : 1 - 0 )LA GalaxyWSeattle SoundersMLS2 - 0FT( HT : 1 - 0 )Colorado RapidsLSeattle SoundersMLS1 - 2FT( HT : 0 - 1 )Portland TimbersLPortland TimbersMLS3 - 2FT( HT : 2 - 0 )Seattle Sounders,1.49,32%,46%,24%,"","",73%,41%,2.54
8,"",New England Revolution,36,15,9,12,52,42,+10,54,WMontreal ImpactMLS0 - 1FT( HT : 0 - 1 )New EnglandWNew EnglandMLS3 - 2FT( HT : 1 - 0 )Columbus CrewWColumbus CrewMLS0 - 1FT( HT : 0 - 1 )New EnglandWNew EnglandMLS2 - 1FT( HT : 0 - 0 )Sporting KCLSporting KCMLS3 - 1FT( HT : 1 - 0 )New England,1.50,39%,50%,22%,"","",72%,44%,2.61
9,"",Colorado Rapids,35,14,9,12,45,40,+5,51,WColorado RapidsMLS5 - 1FT( HT : 4 - 0 )Seattle SoundersLSJ EarthquakesMLS1 - 0FT( HT : 0 - 0 )Colorado RapidsWColorado RapidsMLS3 - 2FT( HT : 1 - 1 )Vancouver WhitecapsLVancouver WhitecapsMLS3 - 0FT( HT : 1 - 0 )Colorado RapidsLSeattle SoundersMLS2 - 0FT( HT : 1 - 0 )Colorado Rapids,1.46,29%,49%,26%,"","",71%,40%,2.43
10,"",San Jose Earthquakes,34,14,9,11,35,42,-7,51,WReal Salt LakeMLS1 - 2FT( HT : 1 - 2 )SJ EarthquakesWChivas USAMLS0 - 1FT( HT : 0 - 0 )SJ EarthquakesWSJ EarthquakesMLS1 - 0FT( HT : 0 - 0 )Colorado RapidsDLA GalaxyMLS0 - 0FT( HT : 0 - 0 )SJ EarthquakesWSJ EarthquakesMLS2 - 1FT( HT : 1 - 0 )Dallas,1.50,26%,44%,35%,"","",68%,41%,2.26
