Rank,Crest,Team,Matches,Win,Draw,Loss,GF,GA,GD,Pts,Last 5,PPG,CS,BTTS,FTS,YC / RC,Corners / Match,1.5+Over 1.5 (1.5+),2.5+Over 2.5 (2.5+),AVG
1,"",Toronto FC,40,18,12,10,68,45,+23,66,WTorontoMLS2 - 0FT( HT : 0 - 0 )New York CityWNew York CityMLS0 - 5FT( HT : 0 - 3 )TorontoLMontreal ImpactMLS3 - 2FT( HT : 2 - 0 )TorontoWTorontoMLS5 - 2FT( HT : 2 - 1 )Montreal ImpactDTorontoMLS0 - 0FT( HT : 0 - 0 )Seattle Sounders,1.65,33%,58%,18%,"","",73%,50%,2.83
2,"",FC Dallas,36,18,9,9,52,44,+8,63,WDallasMLS1 - 0FT( HT : 1 - 0 )LA GalaxyWDallasMLS2 - 1FT( HT : 0 - 1 )Seattle SoundersDLA GalaxyMLS0 - 0FT( HT : 0 - 0 )DallasLSeattle SoundersMLS3 - 0FT( HT : 0 - 0 )DallasWDallasMLS2 - 1FT( HT : 1 - 0 )Seattle Sounders,1.75,33%,42%,33%,"","",78%,53%,2.67
3,"",Seattle Sounders FC,40,18,7,15,52,46,+6,61,WSeattle SoundersMLS3 - 0FT( HT : 0 - 0 )DallasLDallasMLS2 - 1FT( HT : 1 - 0 )Seattle SoundersWSeattle SoundersMLS2 - 1FT( HT : 1 - 1 )Colorado RapidsWColorado RapidsMLS0 - 1FT( HT : 0 - 0 )Seattle SoundersDTorontoMLS0 - 0FT( HT : 0 - 0 )Seattle Sounders,1.53,30%,53%,23%,"","",73%,48%,2.45
4,"",Colorado Rapids,38,16,13,9,41,36,+5,61,DColorado RapidsMLS1 - 1FT( HT : 0 - 1 )Houston DynamoLLA GalaxyMLS1 - 0FT( HT : 0 - 0 )Colorado RapidsWColorado RapidsMLS1 - 0FT( HT : 1 - 0 )LA GalaxyLSeattle SoundersMLS2 - 1FT( HT : 1 - 1 )Colorado RapidsLColorado RapidsMLS0 - 1FT( HT : 0 - 0 )Seattle Sounders,1.61,37%,47%,26%,"","",53%,32%,2.03
5,"",LA Galaxy,37,14,16,7,58,41,+17,58,WHouston DynamoMLS0 - 1FT( HT : 0 - 0 )LA GalaxyDLA GalaxyMLS0 - 0FT( HT : 0 - 0 )DallasWLA GalaxyMLS3 - 1FT( HT : 3 - 1 )Real Salt LakeWLA GalaxyMLS1 - 0FT( HT : 0 - 0 )Colorado RapidsLColorado RapidsMLS1 - 0FT( HT : 1 - 0 )LA Galaxy,1.57,27%,59%,27%,"","",62%,43%,2.68
6,"",New York Red Bulls,36,16,9,11,62,47,+15,57,WNew York RBMLS3 - 2FT( HT : 1 - 1 )Philadelphia UnionWNew York RBMLS3 - 2FT( HT : 0 - 0 )Columbus CrewWPhiladelphia UnionMLS0 - 2FT( HT : 0 - 1 )New York RBLMontreal ImpactMLS1 - 0FT( HT : 0 - 0 )New York RBLNew York RBMLS1 - 2FT( HT : 0 - 0 )Montreal Impact,1.58,31%,47%,25%,"","",81%,53%,3.03
7,"",Montreal Impact,39,15,12,12,61,63,-2,57,WDC UnitedMLS2 - 4FT( HT : 0 - 2 )Montreal ImpactWMontreal ImpactMLS1 - 0FT( HT : 0 - 0 )New York RBWNew York RBMLS1 - 2FT( HT : 0 - 0 )Montreal ImpactWMontreal ImpactMLS3 - 2FT( HT : 2 - 0 )TorontoLTorontoMLS5 - 2FT( HT : 2 - 1 )Montreal Impact,1.46,18%,67%,18%,"","",82%,56%,3.18
8,"",New York City FC,36,15,9,12,62,64,-2,54,WHouston DynamoMLS0 - 2FT( HT : 0 - 0 )New York CityLDC UnitedMLS3 - 1FT( HT : 3 - 0 )New York CityWNew York CityMLS4 - 1FT( HT : 1 - 0 )Columbus CrewLTorontoMLS2 - 0FT( HT : 0 - 0 )New York CityLNew York CityMLS0 - 5FT( HT : 0 - 3 )Toronto,1.50,22%,64%,19%,"","",86%,61%,3.50
9,"",Sporting Kansas City,35,13,8,14,42,42,0,47,WSJ EarthquakesMLS1 - 2FT( HT : 1 - 1 )Sporting KCLNew EnglandMLS3 - 1FT( HT : 1 - 0 )Sporting KCDReal Salt LakeMLS0 - 0FT( HT : 0 - 0 )Sporting KCWSporting KCMLS2 - 0FT( HT : 1 - 0 )SJ EarthquakesLSeattle SoundersMLS1 - 0FT( HT : 0 - 0 )Sporting KC,1.34,29%,46%,31%,"","",69%,46%,2.40
10,"",DC United,35,11,13,11,55,51,+4,46,WDC UnitedMLS3 - 0FT( HT : 0 - 0 )Columbus CrewWTorontoMLS1 - 2FT( HT : 1 - 1 )DC UnitedWDC UnitedMLS3 - 1FT( HT : 3 - 0 )New York CityLOrlando CityMLS4 - 2FT( HT : 2 - 1 )DC UnitedLDC UnitedMLS2 - 4FT( HT : 0 - 2 )Montreal Impact,1.31,26%,57%,23%,"","",86%,51%,3.03
