Rank,Crest,Team,Matches,Win,Draw,Loss,GF,GA,GD,Pts,Last 5,PPG,CS,BTTS,FTS,YC / RC,Corners / Match,1.5+Over 1.5 (1.5+),2.5+Over 2.5 (2.5+),AVG
11,"",Real Salt Lake,35,12,10,13,45,49,-4,46,DReal Salt LakeMLS0 - 0FT( HT : 0 - 0 )DallasLSJ EarthquakesMLS2 - 1FT( HT : 1 - 1 )Real Salt LakeDReal Salt LakeMLS0 - 0FT( HT : 0 - 0 )Sporting KCLSeattle SoundersMLS2 - 1FT( HT : 2 - 1 )Real Salt LakeLLA GalaxyMLS3 - 1FT( HT : 3 - 1 )Real Salt Lake,1.31,17%,63%,29%,"","",69%,54%,2.69
12,"",Portland Timbers,34,12,8,14,48,53,-5,44,WPortland TimbersMLS2 - 1FT( HT : 0 - 0 )Philadelphia UnionLHouston DynamoMLS3 - 1FT( HT : 1 - 0 )Portland TimbersLColorado RapidsMLS1 - 0FT( HT : 0 - 0 )Portland TimbersWPortland TimbersMLS1 - 0FT( HT : 1 - 0 )Colorado RapidsLVancouver WhitecapsMLS4 - 1FT( HT : 2 - 0 )Portland Timbers,1.29,18%,74%,15%,"","",79%,65%,2.97
13,"",Philadelphia Union,35,11,9,15,53,58,-5,42,DTorontoMLS1 - 1FT( HT : 0 - 1 )Philadelphia UnionLNew York RBMLS3 - 2FT( HT : 1 - 1 )Philadelphia UnionLPhiladelphia UnionMLS0 - 2FT( HT : 0 - 0 )Orlando CityLPhiladelphia UnionMLS0 - 2FT( HT : 0 - 1 )New York RBLTorontoMLS3 - 1FT( HT : 1 - 0 )Philadelphia Union,1.20,17%,66%,17%,"","",91%,63%,3.17
14,"",New England Revolution,34,11,9,14,44,54,-10,42,WMontreal ImpactMLS1 - 3FT( HT : 0 - 2 )New EnglandLColumbus CrewMLS2 - 0FT( HT : 1 - 0 )New EnglandWNew EnglandMLS3 - 1FT( HT : 1 - 0 )Sporting KCLChicago FireMLS2 - 1FT( HT : 1 - 1 )New EnglandWNew EnglandMLS3 - 0FT( HT : 1 - 0 )Montreal Impact,1.24,24%,53%,32%,"","",79%,56%,2.88
15,"",Orlando City SC,34,9,14,11,55,60,-5,41,LDC UnitedMLS4 - 1FT( HT : 1 - 0 )Orlando CityDTorontoMLS0 - 0FT( HT : 0 - 0 )Orlando CityLOrlando CityMLS0 - 1FT( HT : 0 - 0 )Montreal ImpactWPhiladelphia UnionMLS0 - 2FT( HT : 0 - 0 )Orlando CityWOrlando CityMLS4 - 2FT( HT : 2 - 1 )DC United,1.21,15%,76%,18%,"","",85%,74%,3.38
16,"",Vancouver Whitecaps FC,34,10,9,15,45,52,-7,39,LSeattle SoundersMLS1 - 0FT( HT : 0 - 0 )Vancouver WhitecapsDVancouver WhitecapsMLS3 - 3FT( HT : 0 - 1 )Colorado RapidsLVancouver WhitecapsMLS1 - 2FT( HT : 1 - 1 )Seattle SoundersDSJ EarthquakesMLS0 - 0FT( HT : 0 - 0 )Vancouver WhitecapsWVancouver WhitecapsMLS4 - 1FT( HT : 2 - 0 )Portland Timbers,1.15,21%,56%,35%,"","",76%,56%,2.85
17,"",San Jose Earthquakes,34,8,14,12,32,40,-8,38,LMontreal ImpactMLS3 - 1FT( HT : 2 - 0 )SJ EarthquakesWSJ EarthquakesMLS2 - 1FT( HT : 1 - 1 )Real Salt LakeLColorado RapidsMLS2 - 1FT( HT : 1 - 0 )SJ EarthquakesDSJ EarthquakesMLS0 - 0FT( HT : 0 - 0 )Vancouver WhitecapsLSporting KCMLS2 - 0FT( HT : 1 - 0 )SJ Earthquakes,1.12,24%,59%,32%,"","",71%,38%,2.12
18,"",Columbus Crew,34,8,12,14,50,58,-8,36,LDC UnitedMLS3 - 0FT( HT : 0 - 0 )Columbus CrewWColumbus CrewMLS3 - 0FT( HT : 1 - 0 )Chicago FireDChicago FireMLS2 - 2FT( HT : 0 - 1 )Columbus CrewLNew York RBMLS3 - 2FT( HT : 0 - 0 )Columbus CrewLNew York CityMLS4 - 1FT( HT : 1 - 0 )Columbus Crew,1.06,24%,65%,21%,"","",85%,59%,3.18
19,"",Houston Dynamo,34,7,13,14,39,45,-6,34,LHouston DynamoMLS0 - 2FT( HT : 0 - 0 )New York CityLHouston DynamoMLS2 - 3FT( HT : 1 - 1 )Colorado RapidsDSeattle SoundersMLS0 - 0FT( HT : 0 - 0 )Houston DynamoLHouston DynamoMLS0 - 1FT( HT : 0 - 0 )LA GalaxyDColorado RapidsMLS1 - 1FT( HT : 0 - 1 )Houston Dynamo,1.00,26%,53%,32%,"","",62%,35%,2.47
20,"",Chicago Fire,34,7,10,17,42,58,-16,31,LSeattle SoundersMLS1 - 0FT( HT : 1 - 0 )Chicago FireLColumbus CrewMLS3 - 0FT( HT : 1 - 0 )Chicago FireDChicago FireMLS2 - 2FT( HT : 0 - 1 )Columbus CrewWChicago FireMLS2 - 1FT( HT : 1 - 1 )New EnglandLTorontoMLS3 - 2FT( HT : 1 - 1 )Chicago Fire,0.91,24%,59%,24%,"","",71%,59%,2.94
