full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Paul Dummett,27,Premier League,2015/2016,Defender,Newcastle United,1897,1053,844,Wales,23,13,10,1,1,0,0,0,0,0,0,6,4,2,26,13,13,3,0,0.05,0,0.05,0.09,0,1897,1.23,73,82,632,0,0.14,216,320,86,10
Jakob Haugaard,26,Premier League,2015/2016,Goalkeeper,Stoke City,404,180,224,Denmark,5,2,2,0,0,0,0,0,0,0,0,0,0,0,10,2,8,0,0,0,0,0,0,0,0,2.23,40,81,0,0,0,301,321,180,11
Julián Speroni,39,Premier League,2015/2016,Goalkeeper,Crystal Palace,180,0,180,Argentina,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,24
Alex Iwobi,22,Premier League,2015/2016,Forward,Arsenal,630,287,343,Nigeria,13,4,4,2,1,1,2,0,2,0,0,8,4,4,5,0,5,0,0,0.57,0.29,0.29,0.31,0.26,315,0.71,126,48,0,315,0,67,26,-1,9
Youssouf Chafiq Mulumbu Ngangu,31,Premier League,2015/2016,Midfielder,Norwich City,370,90,280,Congo DR,7,1,4,0,0,0,0,0,0,0,0,1,1,0,8,2,6,1,0,0,0,0,0,0,0,1.95,46,53,370,0,0.24,293,323,-1,22
Ryan Shawcross,31,Premier League,2015/2016,Defender,Stoke City,1697,900,797,England,20,10,10,0,0,0,0,0,0,0,0,7,4,3,24,10,14,4,1,0,0,0,0,0,0,1.27,71,85,424,0,0.21,290,324,95,10
Harry Arter,28,Premier League,2015/2016,Midfielder,AFC Bournemouth,1674,783,891,Republic of Ireland,21,10,11,1,1,0,0,0,0,0,0,6,3,3,25,12,13,7,0,0.05,0,0.05,0.11,0,1674,1.34,67,80,239,0,0.38,225,315,-1,13
Vadis Odjidja-Ofoe,29,Premier League,2015/2016,Midfielder,Norwich City,275,59,216,Belgium,10,0,3,0,0,0,2,1,1,0,0,3,2,1,5,0,5,2,0,0.65,0.65,0,0,0,0,1.64,55,28,138,138,0.65,286,2,-1,23
Cameron Borthwick-Jackson,21,Premier League,2015/2016,Defender,Manchester United,692,300,392,England,10,3,3,0,0,0,1,1,0,0,0,5,3,2,4,0,4,0,0,0.13,0.13,0,0,0,0,0.52,173,69,0,692,0,310,112,3,16
Cameron Brannagan,22,Premier League,2015/2016,Midfielder,Liverpool,112,12,100,England,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.8,112,37,0,0,0,-1,-1,-1,24
Marcus Rashford,21,Premier League,2015/2016,Forward,Manchester United,862,561,301,England,11,7,4,5,4,1,2,1,1,0,0,5,4,1,7,3,4,0,0,0.73,0.21,0.52,0.64,0.3,172,0.73,123,78,0,431,0,15,54,-1,4
Alexandre Dimitri Song-Billong,31,Premier League,2015/2016,Midfielder,West Ham United,659,290,369,Cameroon,12,4,4,0,0,0,0,0,0,0,0,4,2,2,6,3,3,1,0,0,0,0,0,0,0,0.82,110,55,659,0,0.14,258,329,-1,16
Marouane Chamakh,34,Premier League,2015/2016,Forward,Crystal Palace,249,105,144,Morocco,10,1,0,0,0,0,0,0,0,0,0,3,2,1,4,1,3,1,0,0,0,0,0,0,0,1.45,62,25,249,0,0.36,-1,-1,-1,25
Tetchi Jores Charlemagne Ulrich Okore,26,Premier League,2015/2016,Defender,Aston Villa,1080,630,450,Denmark,12,7,5,0,0,0,0,0,0,0,0,3,2,1,18,12,6,1,0,0,0,0,0,0,0,1.5,60,90,1080,0,0.08,287,330,135,14
Matt Grimes,23,Premier League,2015/2016,Midfielder,Swansea City,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,15
Marcin Ryszard Wasilewski,38,Premier League,2015/2016,Defender,Leicester City,302,90,212,Poland,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,1,4,2,0,0,0,0,0,0,0,1.49,60,76,151,0,0.6,289,331,131,13
Guillermo Varela Olivera,25,Premier League,2015/2016,Defender,Manchester United,314,224,90,Uruguay,4,2,1,0,0,0,0,0,0,0,0,2,2,0,4,2,2,1,0,0,0,0,0,0,0,1.15,79,79,314,0,0.29,292,332,68,17
Leighton Baines,33,Premier League,2015/2016,Defender,Everton,1477,568,909,England,18,6,10,2,2,0,1,0,1,1,0,4,1,3,25,10,15,0,0,0.18,0.06,0.12,0.32,0,739,1.52,59,82,0,1477,0,141,202,141,11
Jordi Amat,26,Premier League,2015/2016,Defender,Swansea City,461,183,278,Spain,8,2,3,0,0,0,0,0,0,0,0,2,1,1,4,2,2,0,0,0,0,0,0,0,0,0.78,115,58,0,0,0,294,334,16,14
Jordan Lyden,22,Premier League,2015/2016,Midfielder,Aston Villa,153,78,75,Australia,4,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1.76,51,38,0,0,0,-1,-1,-1,13
Stephen Kingsley,24,Premier League,2015/2016,Defender,Swansea City,356,176,180,Scotland,4,2,2,0,0,0,1,0,1,0,0,1,1,0,3,1,2,0,0,0.25,0.25,0,0,0,0,0.76,119,89,0,356,0,284,32,14,13
Brad Smith,24,Premier League,2015/2016,Defender,Liverpool,285,0,285,Australia,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,1,0,0,0,0,0,0,1.26,71,71,95,0,0.95,299,326,91,18
Aly Cissokho,31,Premier League,2015/2016,Defender,Aston Villa,1603,810,793,France,18,9,9,0,0,0,0,0,0,0,0,3,2,1,37,21,16,4,1,0,0,0,0,0,0,2.08,43,89,321,0,0.28,300,313,175,12
Benik Afobe,25,Premier League,2015/2016,Forward,AFC Bournemouth,937,565,372,Congo DR,15,7,5,4,2,2,0,0,0,0,0,3,2,1,16,10,6,0,0,0.38,0,0.38,0.32,0.48,234,1.54,59,62,0,0,0,27,302,-1,4
Jordan Pickford,24,Premier League,2015/2016,Goalkeeper,Sunderland,180,0,180,England,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,15
Fraser Forster,30,Premier League,2015/2016,Goalkeeper,Southampton,1620,810,810,England,18,9,9,0,0,0,0,0,0,0,0,6,3,3,17,9,8,0,0,0,0,0,0,0,0,0.94,95,90,0,0,0,302,312,40,22
Ben Foster,35,Premier League,2015/2016,Goalkeeper,West Bromwich Albion,1350,720,630,England,15,8,7,0,0,0,0,0,0,0,0,4,2,2,17,9,8,1,0,0,0,0,0,0,0,1.13,79,90,1350,0,0.07,303,292,63,16
Danny Ward,25,Premier League,2015/2016,Goalkeeper,Liverpool,180,0,180,Wales,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1.5,60,90,0,0,0,-1,-1,-1,21
Demarai Gray,22,Premier League,2015/2016,Midfielder,Leicester City,177,52,125,England,12,0,1,0,0,0,1,0,1,0,0,5,4,1,2,0,2,0,0,0.51,0.51,0,0,0,0,1.02,89,15,0,177,0,-1,-1,-1,14
Jan Kirchhoff,28,Premier League,2015/2016,Defender,Sunderland,1084,561,523,Germany,15,8,6,0,0,0,0,0,0,0,0,4,3,1,11,5,6,0,0,0,0,0,0,0,0,0.91,99,72,0,0,0,304,293,35,16
