Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Darren Bent,Sunderland,Forward,38,24,2,5,0,0,38,0,0,7,5,0,3,0,0,More
Hugo Rodallega,Wigan Athletic,Forward,38,10,8,6,0,0,38,0,0,11,1,0,2,0,0,More
Tyrone Mears,Burnley,Defender,38,0,6,7,0,0,38,0,0,0,0,0,0,0,0,More
Roger Johnson,Birmingham City,Defender,38,0,1,8,0,0,38,0,0,0,0,0,0,0,0,More
Brian Jensen,Burnley,Goalkeeper,38,0,1,3,0,0,38,0,0,1,0,3,1,5,0,More
Jussi Jaaskelainen,Bolton Wanderers,Goalkeeper,38,0,0,3,0,0,38,0,0,0,0,2,0,3,0,More
Pepe Reina,Liverpool,Goalkeeper,38,0,0,2,0,0,38,0,0,0,0,1,0,3,0,More
Tim Howard,Everton,Goalkeeper,38,0,0,2,0,0,38,0,0,0,0,2,0,0,0,More
Robert Green,West Ham United,Goalkeeper,38,0,0,0,0,0,38,0,0,1,0,1,0,5,1,More
Brad Friedel,Aston Villa,Goalkeeper,38,0,0,0,0,0,38,0,0,0,0,0,0,6,0,More
Patrice Evra,Manchester United,Defender,38,0,2,5,0,0,37,1,1,4,0,0,0,0,0,More
Wade Elliott,Burnley,Midfielder,38,4,4,5,0,0,34,4,4,3,0,0,0,0,0,More
Paul Scharner,Wigan Athletic,Defender,38,4,4,6,0,0,30,8,8,10,0,0,0,0,0,More
Peter Crouch,Tottenham Hotspur,Forward,38,8,8,1,0,0,21,17,17,1,0,0,0,0,0,More
Kevin Davies,Bolton Wanderers,Forward,37,7,6,9,0,0,37,0,0,1,1,0,0,0,1,More
Ashley Young,Aston Villa,Midfielder,37,5,6,6,0,0,37,0,0,3,1,0,1,0,0,More
Richard Dunne,Aston Villa,Defender,37,3,0,7,0,0,37,0,0,1,0,0,0,0,1,More
John Terry,Chelsea,Defender,37,2,2,7,1,0,37,0,0,2,0,0,0,0,0,More
Leighton Baines,Everton,Defender,37,1,9,2,0,0,37,0,0,0,1,0,0,0,0,More
Stilian Petrov,Aston Villa,Midfielder,37,0,1,10,0,0,37,0,0,4,0,0,0,0,0,More
Mark Schwarzer,Fulham,Goalkeeper,37,0,0,0,0,0,37,0,0,0,0,0,0,2,0,More
Jamie Carragher,Liverpool,Defender,37,0,0,7,0,1,37,0,0,2,0,0,0,0,0,More
Barry Ferguson,Birmingham City,Midfielder,37,0,0,8,1,0,37,0,0,1,0,0,0,0,0,More
Dirk Kuyt,Liverpool,Forward,37,9,4,3,0,0,35,3,2,13,1,0,0,0,0,More
Matthew Taylor,Bolton Wanderers,Midfielder,37,8,2,2,0,0,29,9,8,8,3,0,0,0,0,More
Frank Lampard,Chelsea,Midfielder,36,22,17,0,0,0,36,0,0,2,10,0,1,0,0,More
James Milner,Aston Villa,Midfielder,36,7,12,5,0,0,36,1,0,3,3,0,1,0,1,More
Carlos Cuellar,Aston Villa,Defender,36,2,2,7,1,0,36,1,0,0,0,0,0,0,0,More
Joe Hart,Birmingham City,Goalkeeper,36,0,0,3,0,0,36,0,0,0,0,0,0,2,0,More
Gabriel Agbonlahor,Aston Villa,Forward,36,13,5,3,0,0,35,1,1,7,0,0,0,0,0,More
Charles N'Zogbia,Wigan Athletic,Midfielder,36,5,6,7,0,0,35,1,1,7,0,0,0,0,0,More
Fabrice Muamba,Bolton Wanderers,Midfielder,36,1,0,11,0,0,35,2,1,12,0,0,0,0,0,More
Rory Delap,Stoke City,Midfielder,36,0,1,3,0,0,34,4,2,9,0,0,0,0,0,More
Dean Whitehead,Stoke City,Midfielder,36,0,0,8,1,0,33,3,3,4,0,0,0,0,0,More
James McFadden,Birmingham City,Forward,36,5,3,5,0,0,32,4,4,15,2,0,1,0,0,More
Steven Fletcher,Burnley,Forward,35,8,4,1,0,0,35,0,0,18,0,0,0,0,0,More
Titus Bramble,Wigan Athletic,Defender,35,2,0,10,0,0,35,0,0,1,0,0,0,0,0,More
Maynor Figueroa,Wigan Athletic,Defender,35,1,1,6,0,0,35,1,0,1,0,0,0,0,0,More
Andy Dawson,Hull City,Defender,35,1,0,7,0,0,35,1,0,3,0,0,0,0,1,More
Zatyiah Knight,Bolton Wanderers,Defender,35,1,0,1,0,0,35,3,0,0,0,0,0,0,1,More
Stephen Carr,Birmingham City,Defender,35,0,2,10,0,0,35,0,0,2,0,0,0,0,0,More
Paul Robinson,Blackburn Rovers,Goalkeeper,35,0,1,1,0,0,35,0,0,1,0,0,0,2,0,More
Shay Given,Manchester City,Goalkeeper,35,0,0,2,0,0,35,0,0,1,0,2,0,5,0,More
Lee Bowyer,Birmingham City,Midfielder,35,5,2,8,0,0,34,1,1,3,0,0,0,0,0,More
Carlos Tevez,Manchester City,Forward,35,23,6,6,0,0,32,3,3,11,5,0,0,0,0,More
 Lucas Leiva,Liverpool,Midfielder,35,0,2,9,0,0,32,6,3,7,0,0,0,0,1,More
Bacary Sagna,Arsenal,Defender,35,0,5,3,0,0,31,7,4,4,0,0,0,0,0,More
Ricardo Fuller,Stoke City,Forward,35,3,4,8,0,0,22,13,13,16,0,0,0,0,0,More
Gareth Barry,Manchester City,Midfielder,34,2,6,4,0,0,34,1,0,3,0,0,0,0,0,More
Mohamed Diame,Wigan Athletic,Midfielder,34,1,1,5,0,0,34,0,0,10,0,0,0,0,0,More
Petr Cech,Chelsea,Goalkeeper,34,0,1,0,0,1,34,0,0,0,0,1,0,3,1,More
Karl Henry,Wolverhampton Wanderers,Midfielder,34,0,0,6,0,1,34,1,0,0,0,0,0,0,0,More
Aaron Hughes,Fulham,Defender,34,0,0,2,0,0,34,1,0,0,0,0,0,0,0,More
Kevin Doyle,Wolverhampton Wanderers,Forward,34,9,1,4,0,0,33,1,1,9,1,0,0,0,0,More
Matthew Etherington,Stoke City,Midfielder,34,5,9,1,0,0,33,2,1,7,1,0,0,0,0,More
Gael Givet,Blackburn Rovers,Defender,34,2,2,3,0,0,33,1,1,5,0,0,0,0,1,More
Jermain Defoe,Tottenham Hotspur,Forward,34,18,4,3,0,1,31,3,3,18,1,0,1,0,0,More
Javier Mascherano,Liverpool,Midfielder,34,0,0,10,1,1,31,4,3,2,0,0,0,0,0,More
Matt Jarvis,Wolverhampton Wanderers,Midfielder,34,3,4,3,0,0,30,6,4,16,0,0,0,0,0,More
Nigel De Jong,Manchester City,Midfielder,34,0,0,7,0,0,30,6,4,6,0,0,0,0,0,More
Luis Antonio Valencia,Manchester United,Defender,34,5,8,3,0,0,29,7,5,6,0,0,0,0,0,More
Chung-Yong Lee,Bolton Wanderers,Midfielder,34,4,5,4,0,0,27,11,7,13,0,0,0,0,0,More
