Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Jonathan Walters,Stoke City,Forward,38,8,2,3,0,0,38,0,0,7,3,0,2,0,2,More
Leighton Baines,Everton,Defender,38,5,5,4,0,0,38,0,0,0,2,0,0,0,2,More
James McCarthy,Wigan Athletic,Midfielder,38,3,2,7,0,0,38,0,0,2,0,0,0,0,0,More
Jobi McAnuff,Reading,Midfielder,38,0,8,5,0,0,38,0,0,8,0,0,0,0,0,More
Joe Hart,Manchester City,Goalkeeper,38,0,0,0,0,0,38,0,0,0,0,1,0,1,0,More
Simon Mignolet,Sunderland,Goalkeeper,38,0,0,1,0,0,38,0,0,0,0,0,0,4,0,More
Jussi Jaaskelainen,West Ham United,Goalkeeper,38,0,0,2,0,0,38,0,0,0,0,0,0,2,0,More
Asmir Begovic,Stoke City,Goalkeeper,38,0,0,3,0,0,38,0,0,0,0,0,0,6,0,More
Santi Cazorla,Arsenal,Midfielder,38,12,10,1,0,0,37,1,1,11,0,0,0,0,0,More
Sebastian Larsson,Sunderland,Midfielder,38,1,2,5,0,0,36,2,2,17,0,0,0,0,0,More
Robin van Persie,Manchester United,Forward,38,26,10,6,0,0,35,3,3,4,3,0,1,0,0,More
Ricky Lambert,Southampton,Forward,38,15,5,2,0,0,35,3,3,8,3,0,0,0,0,More
Matthew Lowton,Aston Villa,Defender,37,2,3,10,0,0,37,0,0,1,0,0,0,0,0,More
Bradley Johnson,Norwich City,Midfielder,37,1,2,9,0,0,37,0,0,5,0,0,0,0,0,More
Ryan Shawcross,Stoke City,Defender,37,1,1,9,0,0,37,0,0,0,0,0,0,0,1,More
Ashley Williams,Swansea City,Defender,37,0,0,7,0,0,37,1,0,0,0,0,0,0,0,More
Robert Snodgrass,Norwich City,Midfielder,37,6,7,8,0,0,35,3,2,14,0,0,0,0,0,More
Jonathan De Guzman,Swansea City,Midfielder,37,5,7,6,0,0,33,5,4,11,0,0,0,0,1,More
Ben Davies,Swansea City,Defender,37,1,2,5,0,0,33,4,4,3,0,0,0,0,0,More
Nikica Jelavic,Everton,Forward,37,7,2,3,0,0,26,11,11,13,0,0,0,0,0,More
Nathan Dyer,Swansea City,Midfielder,37,3,7,4,1,0,25,13,12,10,0,0,0,0,0,More
Steven Gerrard,Liverpool,Midfielder,36,9,9,5,0,0,36,0,0,1,4,0,1,0,1,More
Leon Osman,Everton,Midfielder,36,5,3,8,0,0,36,0,0,7,0,0,0,0,0,More
Morgan Schneiderlin,Southampton,Midfielder,36,5,0,9,0,0,36,0,0,1,0,0,0,0,0,More
Emmerson Boyce,Wigan Athletic,Defender,36,4,0,5,0,0,36,0,0,7,0,0,0,0,1,More
Gareth McAuley,West Bromwich Albion,Defender,36,3,1,3,0,0,36,1,0,0,0,0,0,0,2,More
Philip Jagielka,Everton,Defender,36,2,1,1,0,0,36,0,0,1,0,0,0,0,0,More
Glen Johnson,Liverpool,Defender,36,1,3,7,0,0,36,0,0,1,0,0,0,0,0,More
Winston Reid,West Ham United,Defender,36,1,0,8,0,0,36,0,0,2,0,0,0,0,0,More
Kyle Walker,Tottenham Hotspur,Defender,36,0,4,5,0,0,36,2,0,4,0,0,0,0,0,More
Jonas Olsson,West Bromwich Albion,Defender,36,0,1,4,0,0,36,0,0,0,0,0,0,0,1,More
Brad Guzan,Aston Villa,Goalkeeper,36,0,0,2,0,0,36,2,0,0,0,1,0,7,0,More
Mark Schwarzer,Fulham,Goalkeeper,36,0,0,0,0,0,36,0,0,0,0,3,0,2,0,More
Tim Howard,Everton,Goalkeeper,36,0,0,0,0,0,36,0,0,0,0,0,0,2,0,More
Petr Cech,Chelsea,Goalkeeper,36,0,0,1,0,0,36,0,0,1,0,0,1,0,0,More
Papiss Cisse,Newcastle United,Forward,36,8,3,6,0,0,35,2,1,9,0,0,1,0,0,More
Shaun Maloney,Wigan Athletic,Midfielder,36,6,9,6,0,0,34,2,2,9,1,0,0,0,0,More
Michael Carrick,Manchester United,Midfielder,36,1,4,3,0,0,34,2,2,2,0,0,0,0,0,More
Wayne Routledge,Swansea City,Midfielder,36,5,5,0,0,0,30,7,6,14,0,0,0,0,0,More
Fernando Torres,Chelsea,Forward,36,8,8,5,1,0,28,10,8,6,1,0,0,0,0,More
James McClean,Sunderland,Midfielder,36,2,2,4,0,0,24,12,12,4,0,0,0,0,0,More
Aaron Ramsey,Arsenal,Midfielder,36,1,3,5,0,0,21,17,15,5,0,0,0,0,0,More
 Michu,Swansea City,Forward,35,18,2,6,0,0,35,1,0,13,0,0,0,0,0,More
Kevin Nolan,West Ham United,Midfielder,35,10,2,6,0,0,35,0,0,9,0,0,0,0,0,More
Steven Pienaar,Everton,Midfielder,35,6,6,7,2,0,35,0,0,5,0,0,0,0,0,More
Adam Johnson,Sunderland,Midfielder,35,5,7,3,0,0,35,0,0,16,0,0,0,0,0,More
Daniel Agger,Liverpool,Defender,35,3,0,3,0,1,35,0,0,2,0,0,0,0,0,More
Sascha Riether,Fulham,Defender,35,1,6,4,0,0,35,0,0,2,0,0,0,0,0,More
Robert Huth,Stoke City,Defender,35,1,0,5,0,0,35,0,0,0,0,0,0,0,0,More
Steven N'Zonzi,Stoke City,Midfielder,35,1,0,9,0,1,35,0,0,1,0,0,0,0,0,More
Brede Hangeland,Fulham,Defender,35,0,0,2,0,1,35,0,0,1,0,0,0,0,0,More
Stephane Sessegnon,Sunderland,Midfielder,35,7,4,1,0,1,34,1,1,12,0,0,0,0,0,More
James Morrison,West Bromwich Albion,Midfielder,35,5,6,4,0,0,33,3,2,13,1,0,0,0,0,More
Juan Mata,Chelsea,Midfielder,35,12,13,3,0,0,31,4,4,18,0,0,0,0,0,More
Jack Colback,Sunderland,Midfielder,35,0,0,3,0,0,30,8,5,5,0,0,0,0,0,More
Geoff Cameron,Stoke City,Defender,35,0,1,6,0,0,29,7,6,4,0,0,0,0,0,More
