Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Kevin Davies,Bolton Wanderers,Forward,38,8,6,10,0,0,38,0,0,5,3,0,1,0,0,More
Stewart Downing,Aston Villa,Midfielder,38,7,7,0,0,0,38,0,0,2,0,0,0,0,0,More
Leighton Baines,Everton,Defender,38,5,11,4,0,0,38,0,0,0,3,0,0,0,0,More
Roger Johnson,Birmingham City,Defender,38,2,2,5,0,0,38,0,0,1,0,0,0,0,2,More
Martin Skrtel,Liverpool,Defender,38,2,1,8,0,0,38,0,0,0,0,0,0,0,1,More
Sylvain Distin,Everton,Defender,38,2,0,1,0,0,38,0,0,1,0,0,0,0,1,More
Aaron Hughes,Fulham,Defender,38,1,1,0,0,0,38,0,0,1,0,0,0,0,0,More
Ashley Cole,Chelsea,Defender,38,0,3,4,0,0,38,0,0,1,0,0,0,0,0,More
Brad Friedel,Aston Villa,Goalkeeper,38,0,0,2,0,0,38,0,0,0,0,0,0,4,0,More
Joe Hart,Manchester City,Goalkeeper,38,0,0,1,0,0,38,0,0,0,0,1,0,3,0,More
Tim Howard,Everton,Goalkeeper,38,0,0,3,0,0,38,0,0,0,0,0,0,2,0,More
Pepe Reina,Liverpool,Goalkeeper,38,0,0,4,0,0,38,0,0,1,0,0,1,7,1,More
Petr Cech,Chelsea,Goalkeeper,38,0,0,0,0,0,38,0,0,0,0,1,0,2,0,More
Ben Foster,Birmingham City,Goalkeeper,38,0,0,3,0,0,38,0,0,1,0,1,0,5,0,More
Stephen Carr,Birmingham City,Defender,38,0,0,4,0,0,38,0,0,2,0,0,0,0,1,More
Ian Evatt,Blackpool,Defender,38,1,2,6,0,1,36,2,2,1,0,0,0,0,2,More
Florent Malouda,Chelsea,Midfielder,38,13,4,1,0,0,33,5,5,14,0,0,0,0,0,More
Johan Elmander,Bolton Wanderers,Forward,37,10,6,4,0,0,37,0,0,17,0,0,0,0,0,More
Brede Hangeland,Fulham,Defender,37,6,1,6,0,0,37,0,0,0,0,0,0,0,2,More
Jordan Henderson,Sunderland,Midfielder,37,3,4,3,0,0,37,1,0,8,0,0,0,0,0,More
Danny Murphy,Fulham,Midfielder,37,0,4,8,0,0,37,0,0,16,0,0,0,0,0,More
Vincent Kompany,Manchester City,Defender,37,0,1,6,0,0,37,0,0,0,0,0,0,0,0,More
Robert Green,West Ham United,Goalkeeper,37,0,0,0,0,0,37,0,0,0,0,1,0,5,1,More
Clint Dempsey,Fulham,Forward,37,12,3,5,0,0,35,2,2,7,1,0,1,0,0,More
Matt Jarvis,Wolverhampton Wanderers,Midfielder,37,4,9,2,0,0,34,3,3,9,0,0,0,0,0,More
Jonas Gutierrez,Newcastle United,Midfielder,37,3,4,6,0,0,34,3,3,10,0,0,0,0,0,More
Rory Delap,Stoke City,Midfielder,37,2,1,5,0,0,33,5,4,10,0,0,0,0,1,More
Dean Whitehead,Stoke City,Midfielder,37,2,0,6,0,0,31,6,6,1,0,0,0,0,0,More
Fernando Torres,Liverpool,Forward,37,10,4,7,0,0,30,7,7,9,0,0,0,0,0,More
Andrey Arshavin,Arsenal,Forward,37,6,11,1,0,0,25,13,12,19,1,0,0,0,0,More
Darren Bent,Aston Villa,Forward,36,17,2,1,0,0,36,0,0,7,3,0,0,0,0,More
Liam Ridgewell,Birmingham City,Defender,36,4,0,6,0,1,36,0,0,1,0,0,0,0,0,More
Gary Cahill,Bolton Wanderers,Defender,36,3,1,7,0,1,36,0,0,0,0,0,0,0,0,More
Ryan Shawcross,Stoke City,Defender,36,1,0,8,1,1,36,0,0,0,0,0,0,0,0,More
Michel Salgado,Blackburn Rovers,Defender,36,0,2,9,0,0,36,0,0,8,0,0,0,0,0,More
Paul Robinson,Blackburn Rovers,Goalkeeper,36,0,2,0,0,0,36,0,0,1,0,0,1,6,0,More
 Jose Enrique,Newcastle United,Defender,36,0,1,5,0,0,36,0,0,3,0,0,0,0,0,More
Hugo Rodallega,Wigan Athletic,Forward,36,9,1,4,0,1,34,2,2,6,0,0,0,0,0,More
Fabrice Muamba,Bolton Wanderers,Midfielder,36,1,0,6,0,0,32,5,4,18,0,0,0,0,0,More
Didier Drogba,Chelsea,Forward,36,11,15,6,0,0,30,6,6,5,2,0,1,0,0,More
Mohamed Diame,Wigan Athletic,Midfielder,36,1,1,6,0,0,30,7,6,12,0,0,0,0,0,More
Jonathan Walters,Stoke City,Forward,36,6,2,4,0,0,27,10,9,9,1,0,0,0,0,More
Ahmed Elmohamady,Sunderland,Midfielder,36,0,2,1,0,0,26,12,10,8,0,0,0,0,0,More
Matthew Taylor,Bolton Wanderers,Midfielder,36,2,3,4,0,0,22,16,14,16,0,0,0,0,0,More
Yaya Toure,Manchester City,Midfielder,35,6,4,3,0,0,35,0,0,9,0,0,0,0,0,More
Robert Huth,Stoke City,Defender,35,6,3,7,0,0,35,0,0,1,0,0,0,0,0,More
Nemanja Vidic,Manchester United,Defender,35,5,1,7,1,0,35,0,0,2,0,0,0,0,0,More
David Vaughan,Blackpool,Midfielder,35,2,2,6,0,0,35,0,0,0,0,0,0,0,0,More
Fabricio Coloccini,Newcastle United,Defender,35,2,0,3,0,1,35,0,0,1,0,0,0,0,1,More
Barry Ferguson,Birmingham City,Midfielder,35,0,0,1,0,0,35,0,0,0,0,0,0,0,0,More
Jussi Jaaskelainen,Bolton Wanderers,Goalkeeper,35,0,0,1,0,1,35,1,0,0,0,2,1,3,0,More
Paul Robinson,Bolton Wanderers,Defender,35,0,0,6,0,0,35,2,0,0,0,0,0,0,0,More
Charlie Adam,Blackpool,Midfielder,35,12,9,11,0,0,34,1,1,3,7,0,1,0,1,More
Patrice Evra,Manchester United,Defender,35,1,2,1,0,0,34,3,1,6,0,0,0,0,1,More
Sebastian Larsson,Birmingham City,Midfielder,35,4,6,5,0,0,31,6,4,5,1,0,0,0,0,More
Jack Wilshere,Arsenal,Midfielder,35,1,3,7,0,1,31,5,4,15,0,0,0,0,0,More
David Silva,Manchester City,Midfielder,35,4,6,2,0,0,30,6,5,16,0,0,0,0,0,More
