Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Kevin Foley,Wolverhampton Wanderers,Defender,16,0,0,0,0,0,11,9,5,4,0,0,0,0,0,More
Oriol Romeu,Chelsea,Defender,16,0,0,2,0,0,11,17,5,4,0,0,0,0,0,More
Alex Oxlade-Chamberlain,Arsenal,Midfielder,16,2,1,0,0,0,6,20,10,6,0,0,0,0,0,More
Kerim Frei Koyunlu,Fulham,Midfielder,16,0,0,1,0,0,6,23,10,4,0,0,0,0,0,More
Connor Wickham,Sunderland,Forward,16,1,0,0,0,0,5,17,11,3,0,0,0,0,0,More
Leroy Lita,Swansea City,Forward,16,2,1,1,0,0,4,28,12,3,0,0,0,0,0,More
 Tuncay Sanli,Bolton Wanderers,Forward,16,0,0,0,0,0,3,20,13,3,0,0,0,0,0,More
William Gallas,Tottenham Hotspur,Defender,15,0,0,1,0,0,15,3,0,2,0,0,0,0,0,More
Ronald Zubar,Wolverhampton Wanderers,Defender,15,1,0,5,1,0,14,6,1,2,0,0,0,0,0,More
Ciaran Clark,Aston Villa,Defender,15,1,2,3,0,0,13,14,2,5,0,0,0,0,0,More
Taye Taiwo,Queens Park Rangers,Defender,15,1,2,1,0,0,13,3,2,2,0,0,0,0,0,More
 Andre Santos,Arsenal,Defender,15,2,0,2,0,0,10,12,5,1,0,0,0,0,0,More
Albert Crusat,Wigan Athletic,Midfielder,15,1,0,1,0,0,4,26,11,4,0,0,0,0,0,More
Steven Taylor,Newcastle United,Defender,14,0,1,1,0,0,14,0,0,0,0,0,0,0,0,More
Papiss Cisse,Newcastle United,Forward,14,13,2,1,0,0,13,2,1,7,0,0,0,0,0,More
Dedryk Boyata,Bolton Wanderers,Defender,14,1,0,3,0,0,13,9,1,2,0,0,0,0,0,More
Steve Sidwell,Fulham,Midfielder,14,1,1,4,0,0,12,5,2,1,0,0,0,0,0,More
Jack Rodwell,Everton,Midfielder,14,2,1,2,0,1,11,4,3,3,0,0,0,0,0,More
Fitz Hall,Queens Park Rangers,Defender,14,0,0,3,0,0,11,8,3,3,0,0,0,0,0,More
Matthew Upson,Stoke City,Defender,14,1,1,1,0,0,10,23,4,1,0,0,0,0,0,More
Michael Essien,Chelsea,Midfielder,14,0,1,3,0,0,10,7,4,4,0,0,0,0,1,More
Sebastien Bassong,Wolverhampton Wanderers,Defender,14,0,0,1,0,1,10,21,4,2,0,0,0,0,0,More
Keith Andrews,West Bromwich Albion,Midfielder,14,2,1,2,0,0,8,7,6,3,0,0,0,0,0,More
Kolo Toure,Manchester City,Defender,14,0,0,0,0,0,8,11,6,0,0,0,0,0,0,More
Andreas Weimann,Aston Villa,Forward,14,2,0,0,0,0,5,21,9,3,0,0,0,0,0,More
Gary Gardner,Aston Villa,Midfielder,14,0,0,1,0,0,5,18,9,2,0,0,0,0,0,More
Liam Ridgewell,West Bromwich Albion,Defender,13,1,1,2,0,0,13,1,0,0,0,0,0,0,0,More
Tim Ream,Bolton Wanderers,Defender,13,0,1,1,0,0,13,0,0,0,0,0,0,0,0,More
Nikica Jelavic,Everton,Forward,13,9,0,1,0,0,10,3,3,4,1,0,0,0,0,More
Shaun Maloney,Wigan Athletic,Midfielder,13,3,2,1,0,0,8,10,5,4,1,0,0,0,0,More
Jonjo Shelvey,Liverpool,Midfielder,13,1,0,2,0,0,8,15,5,3,0,0,0,0,0,More
Carlos Tevez,Manchester City,Forward,13,4,3,1,0,0,7,8,6,7,0,0,1,0,0,More
Kemy Agustien,Swansea City,Midfielder,13,0,0,3,0,0,7,9,6,3,0,0,0,0,0,More
Ricardo Fuller,Stoke City,Forward,13,0,0,2,0,1,3,19,10,2,0,0,0,0,0,More
Apostolos Vellios,Everton,Forward,13,3,0,1,0,0,2,18,11,2,0,0,0,0,0,More
Pavel Pogrebnyak,Fulham,Forward,12,6,0,1,0,0,12,0,0,6,0,0,0,0,0,More
Darron Gibson,Everton,Midfielder,12,1,2,3,0,0,12,3,0,5,0,0,0,0,0,More
Martin Kelly,Liverpool,Defender,12,0,1,1,0,0,12,18,0,2,0,0,0,0,0,More
Elliott Ward,Norwich City,Defender,12,0,0,2,0,0,12,2,0,0,0,0,0,0,0,More
 Lucas Leiva,Liverpool,Midfielder,12,0,0,5,0,0,12,0,0,2,0,0,0,0,0,More
Adam Drury,Norwich City,Defender,12,0,0,2,0,0,12,6,0,6,0,0,0,0,0,More
Maxi Rodriguez,Liverpool,Midfielder,12,4,1,1,0,0,10,18,2,9,0,0,0,0,0,More
Rafael Da Silva,Manchester United,Defender,12,0,3,2,0,0,10,11,2,4,0,0,0,0,0,More
Marcus Olsson,Blackburn Rovers,Midfielder,12,0,1,1,0,0,10,3,2,0,0,0,0,0,0,More
Aleksandar Kolarov,Manchester City,Defender,12,2,5,1,0,0,9,20,3,1,0,0,0,0,0,More
Niko Kranjcar,Tottenham Hotspur,Midfielder,12,1,1,0,0,0,9,13,3,6,0,0,0,0,0,More
Ryo Miyaichi,Arsenal,Forward,12,0,2,0,0,0,8,7,4,5,0,0,0,0,0,More
Salomon Kalou,Chelsea,Forward,12,1,1,0,0,0,7,17,5,5,0,0,0,0,0,More
Fraizer Campbell,Sunderland,Forward,12,1,2,3,0,0,6,8,6,5,0,0,0,0,0,More
Dimitar Berbatov,Manchester United,Forward,12,7,0,0,0,0,5,23,7,2,2,0,0,0,0,More
Victor Anichebe,Everton,Forward,12,5,0,1,0,0,5,13,7,4,0,0,0,0,0,More
Dan Gosling,Newcastle United,Midfielder,12,1,0,2,0,1,1,24,11,0,0,0,0,0,0,More
Jonathan Howson,Norwich City,Midfielder,11,1,1,3,0,0,11,0,0,3,0,0,0,0,0,More
Fabian Delph,Aston Villa,Midfielder,11,0,0,3,0,0,10,6,1,5,0,0,0,0,0,More
Mahamadou Diarra,Fulham,Midfielder,11,1,1,1,0,0,8,3,3,3,0,0,0,0,0,More
Emmanuel Frimpong,Wolverhampton Wanderers,Midfielder,11,0,1,2,1,0,8,9,3,7,0,0,0,0,0,More
Stefan Savic,Manchester City,Defender,11,1,0,1,0,0,5,17,6,0,0,0,0,0,0,More
Danny Rose,Tottenham Hotspur,Defender,11,0,0,1,0,1,3,20,8,0,0,0,0,0,0,More
Aaron Wilbraham,Norwich City,Forward,11,1,3,1,0,0,2,29,9,2,0,0,0,0,0,More
DJ Campbell,Queens Park Rangers,Forward,11,1,0,0,0,0,2,15,9,1,0,0,0,0,0,More
Marouane Chamakh,Arsenal,Forward,11,1,0,0,0,0,1,28,10,1,0,0,0,0,0,More
Eric Lichaj,Aston Villa,Defender,10,1,1,3,0,0,9,5,1,0,0,0,0,0,0,More
Matthew Kilgallon,Sunderland,Defender,10,0,0,0,0,0,9,9,1,4,0,0,0,0,0,More
 Anderson,Manchester United,Midfielder,10,2,1,2,0,0,8,4,2,4,0,0,0,0,0,More
Steven Gohouri,Wigan Athletic,Defender,10,0,0,3,1,0,8,7,2,1,0,0,0,0,0,More
Diniyar Bilyaletdinov,Everton,Midfielder,10,0,1,0,0,0,7,13,3,7,0,0,0,0,0,More
Francis Coquelin,Arsenal,Midfielder,10,0,1,2,0,0,6,11,4,1,0,0,0,0,0,More
Jason Roberts,Blackburn Rovers,Forward,10,0,1,2,0,0,5,11,5,4,0,0,0,0,0,More
Tom Cleverley,Manchester United,Midfielder,10,0,1,0,0,0,5,7,5,3,0,0,0,0,0,More
Adlene Guedioura,Wolverhampton Wanderers,Midfielder,10,0,0,2,0,0,2,11,8,2,0,0,0,0,0,More
Sammy Ameobi,Newcastle United,Forward,10,0,0,0,0,0,1,16,9,1,0,0,0,0,0,More
Samba Diakite,Queens Park Rangers,Defender,9,1,0,6,1,0,9,0,0,3,0,0,0,0,0,More
Michel Salgado,Blackburn Rovers,Defender,9,0,0,4,0,0,9,0,0,3,0,0,0,0,0,More
Keiren Westwood,Sunderland,Goalkeeper,9,0,0,0,0,0,8,24,1,0,0,0,0,2,0,More
Carl Jenkinson,Arsenal,Defender,9,0,1,1,1,0,5,8,4,0,0,0,0,0,0,More
Nicolas Anelka,Chelsea,Forward,9,1,2,0,0,0,3,7,6,2,0,0,0,0,0,More
Adam Hammill,Wolverhampton Wanderers,Midfielder,9,0,1,2,0,0,3,17,6,2,0,0,0,0,0,More
Anthony Modeste,Blackburn Rovers,Forward,9,0,0,1,0,1,3,13,6,0,0,0,0,0,0,More
George Elokobi,Wolverhampton Wanderers,Defender,9,0,0,0,0,0,3,20,6,2,0,0,0,0,0,More
Peter Lovenkrands,Newcastle United,Forward,9,0,1,0,0,0,2,15,7,2,0,0,0,0,0,More
Titus Bramble,Sunderland,Defender,8,1,0,0,0,0,8,5,0,1,0,0,0,0,0,More
Ryan Bennett,Norwich City,Defender,8,0,0,2,0,0,8,1,0,0,0,0,0,0,0,More
David Stockdale,Fulham,Goalkeeper,8,0,0,0,0,0,8,15,0,0,0,0,0,0,0,More
Anders Lindegaard,Manchester United,Goalkeeper,8,0,0,0,0,0,8,14,0,0,0,0,0,0,0,More
Djibril Cisse,Queens Park Rangers,Forward,8,6,0,0,0,2,7,2,1,3,0,0,0,0,0,More
Darren Fletcher,Manchester United,Midfielder,8,1,1,1,0,0,7,2,1,1,0,0,0,0,0,More
Gabriel Tamas,West Bromwich Albion,Defender,8,0,0,1,0,0,7,6,1,0,0,0,0,0,0,More
Jazz Richards,Swansea City,Defender,8,0,0,4,0,0,6,16,2,1,0,0,0,0,0,More
Craig Dawson,West Bromwich Albion,Defender,8,0,0,0,0,0,6,25,2,0,0,0,0,0,0,More
Nathan Baker,Aston Villa,Defender,8,0,0,0,0,0,6,9,2,0,0,0,0,0,0,More
Wayne Bridge,Sunderland,Defender,8,0,0,1,0,0,3,12,5,2,0,0,0,0,0,More
Stephen Dobbie,Swansea City,Forward,8,0,0,0,0,0,2,14,6,1,0,0,0,0,0,More
Romelu Lukaku,Chelsea,Forward,8,0,1,0,0,0,1,14,7,1,0,0,0,0,0,More
Landon Donovan,Everton,Forward,7,0,3,1,0,0,7,0,0,0,0,0,0,0,0,More
David Davis,Wolverhampton Wanderers,Midfielder,7,0,0,0,0,0,6,1,1,4,0,0,0,0,0,More
Michael Dawson,Tottenham Hotspur,Defender,7,0,0,1,0,0,6,5,1,0,0,0,0,0,0,More
Brad Guzan,Aston Villa,Goalkeeper,7,0,0,0,0,0,6,32,1,0,0,0,0,2,0,More
Ryan Bertrand,Chelsea,Defender,7,0,0,1,0,0,6,10,1,1,0,0,0,0,0,More
Daniel Ayala,Norwich City,Defender,7,0,0,2,0,0,6,1,1,1,0,0,0,0,1,More
Simon Vukcevic,Blackburn Rovers,Midfielder,7,1,1,0,0,0,4,21,3,4,0,0,0,0,0,More
