Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Luca Torreira,Arsenal,Midfielder,18,2,2,4,0,0,12,6,6,1,0,0,0,0,0,More
Chris Wood,Burnley,Forward,18,1,0,1,0,0,10,8,8,7,0,0,0,0,0,More
Isaac Success,Watford,Forward,18,1,0,2,0,0,7,11,11,5,0,0,0,0,0,More
James Maddison,Leicester City,Midfielder,17,5,2,2,1,0,17,0,0,11,1,0,0,0,0,More
Victor Camarasa,Cardiff City,Midfielder,17,2,2,3,0,0,17,1,0,4,1,0,0,0,0,More
Granit Xhaka,Arsenal,Midfielder,17,2,1,6,0,0,17,0,0,2,0,0,0,0,0,More
Souleymane Bamba,Cardiff City,Defender,17,2,1,2,0,0,17,1,0,0,0,0,0,0,0,More
Ruben Neves,Wolverhampton Wanderers,Midfielder,17,2,1,5,0,0,17,0,0,0,1,0,0,0,0,More
Philip Billing,Huddersfield Town,Midfielder,17,2,0,6,0,0,17,0,0,4,0,0,0,0,0,More
 Fernandinho,Manchester City,Midfielder,17,1,3,2,0,0,17,0,0,2,0,0,0,0,0,More
Jack Cork,Burnley,Midfielder,17,1,1,4,0,0,17,0,0,1,0,0,0,0,0,More
 Jorginho,Chelsea,Midfielder,17,1,0,3,0,0,17,1,0,4,1,0,0,0,0,More
 David Luiz,Chelsea,Defender,17,1,0,1,0,0,17,1,0,0,0,0,0,0,0,More
Fabian Balbuena,West Ham United,Midfielder,17,1,0,2,0,0,17,1,0,1,0,0,0,0,0,More
Lewis Dunk,Brighton & Hove Albion,Defender,17,1,0,5,0,0,17,0,0,1,0,0,0,0,0,More
Hector Bellerin,Arsenal,Defender,17,0,4,3,0,0,17,0,0,2,0,0,0,0,1,More
Ben Chilwell,Leicester City,Defender,17,0,1,1,0,0,17,0,0,0,0,0,0,0,0,More
Aaron Wan-Bissaka,Crystal Palace,Forward,17,0,1,1,0,1,17,0,0,0,0,0,0,0,0,More
Ryan Bennett,Wolverhampton Wanderers,Defender,17,0,0,3,0,0,17,1,0,0,0,0,0,0,0,More
Callum Wilson,AFC Bournemouth,Forward,17,7,5,3,0,0,16,1,1,3,1,0,1,0,0,More
 Bernardo Silva,Manchester City,Midfielder,17,4,4,2,0,0,16,1,1,3,0,0,0,0,0,More
 Lucas Moura,Tottenham Hotspur,Midfielder,17,5,0,2,0,0,15,3,2,8,0,0,0,0,0,More
 Willian,Chelsea,Midfielder,17,2,3,1,0,0,15,3,2,12,0,0,0,0,0,More
Georginio Wijnaldum,Liverpool,Midfielder,17,1,0,1,0,0,15,2,2,2,0,0,0,0,0,More
Helder Costa,Wolverhampton Wanderers,Midfielder,17,0,2,3,0,0,15,3,2,13,0,0,0,0,0,More
Eden Hazard,Chelsea,Midfielder,17,8,9,2,0,0,14,3,3,3,2,0,0,0,0,More
Robert Snodgrass,West Ham United,Midfielder,17,2,3,6,0,0,12,5,5,4,0,0,0,0,0,More
Alexandre Lacazette,Arsenal,Forward,17,6,4,1,0,0,11,6,6,3,0,0,0,0,0,More
Marc Albrighton,Leicester City,Midfielder,17,1,2,3,0,0,10,8,7,4,0,0,0,0,0,More
Riyad Mahrez,Manchester City,Midfielder,17,5,2,0,0,0,9,9,8,6,0,0,1,0,0,More
Sam Vokes,Burnley,Forward,17,3,0,0,0,0,9,9,8,7,0,0,0,0,0,More
Kelechi Iheanacho,Leicester City,Forward,17,1,4,1,0,0,9,9,8,6,0,0,0,0,0,More
Ashley Barnes,Burnley,Forward,17,3,0,2,0,0,6,12,11,6,0,0,0,0,0,More
 Richarlison,Everton,Forward,16,8,1,1,0,1,16,0,0,5,0,0,0,0,0,More
Mathias Jorgensen,Huddersfield Town,Defender,16,2,1,6,0,0,16,0,0,1,0,0,0,0,0,More
Shkodran Mustafi,Arsenal,Defender,16,2,0,5,0,0,16,0,0,2,0,0,0,0,0,More
Andrew Robertson,Liverpool,Defender,16,0,3,0,0,0,16,1,0,0,0,0,0,0,0,More
Issa Diop,West Ham United,Defender,16,0,1,3,0,0,16,2,0,0,0,0,0,0,1,More
Toby Alderweireld,Tottenham Hotspur,Defender,16,0,0,1,0,0,16,2,0,1,0,0,0,0,0,More
Nampalys Mendy,Leicester City,Midfielder,16,0,0,3,0,0,16,1,0,2,0,0,0,0,0,More
Wayne Hennessey,Crystal Palace,Goalkeeper,16,0,0,0,0,0,16,0,0,0,0,1,0,3,0,More
Sadio Mane,Liverpool,Midfielder,16,7,1,1,0,0,15,1,1,4,0,0,0,0,0,More
David Brooks,AFC Bournemouth,Midfielder,16,5,1,2,0,0,15,3,1,12,0,0,0,0,0,More
Andre Schurrle,Fulham,Forward,16,5,0,2,0,0,15,2,1,8,0,0,0,0,0,More
