full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Eldin Jakupovic,34,Premier League,2016/2017,Goalkeeper,Hull City,1980,990,990,Switzerland,22,11,11,0,0,0,0,0,0,0,0,5,2,3,27,10,17,0,0,0,0,0,0,0,0,1.23,73,90,0,0,0,309,314,67,19
Curtis Davies,33,Premier League,2016/2017,Defender,Hull City,2139,1082,1057,England,26,13,12,0,0,0,2,1,1,0,0,1,0,1,49,22,27,4,0,0.08,0.08,0,0,0,0,2.06,44,82,535,1070,0.17,396,162,161,24
Andrew Robertson,24,Premier League,2016/2017,Defender,Hull City,2736,1367,1369,Scotland,33,15,16,1,1,0,2,2,0,0,0,5,2,3,50,21,29,5,0,0.1,0.07,0.03,0.07,0,2736,1.64,55,83,547,1368,0.16,241,184,138,16
Tom Huddlestone,31,Premier League,2016/2017,Midfielder,Hull City,2025,972,1053,England,31,11,12,1,1,0,0,0,0,1,0,5,2,3,40,18,22,6,1,0.04,0,0.04,0.09,0,2025,1.78,51,65,289,0,0.31,237,344,-1,15
Ahmed Eissa El Mohamady Abdel Fattah,31,Premier League,2016/2017,Midfielder,Hull City,2520,1289,1231,Egypt,33,14,14,0,0,0,2,1,1,0,0,3,1,2,50,22,28,4,1,0.07,0.07,0,0,0,0,1.79,50,76,504,1260,0.18,341,179,-1,27
Robert Snodgrass,31,Premier League,2016/2017,Midfielder,Hull City,2549,1273,1276,Scotland,35,13,14,7,5,2,5,4,1,2,0,4,2,2,53,22,31,2,0,0.42,0.18,0.25,0.35,0.14,364,1.87,48,73,1275,510,0.07,72,72,-1,1
David Meyler,29,Premier League,2016/2017,Midfielder,Hull City,954,514,440,Republic of Ireland,20,6,3,1,0,1,0,0,0,0,0,3,1,2,20,10,10,2,0,0.09,0,0.09,0,0.2,954,1.89,48,48,477,0,0.19,170,345,-1,13
Jake Livermore,29,Premier League,2016/2017,Midfielder,Hull City,2976,1576,1400,England,37,18,17,1,1,0,1,0,1,0,0,4,2,2,58,22,36,6,1,0.06,0.03,0.03,0.06,0,2976,1.75,51,80,425,2976,0.21,246,242,-1,12
Sam Clucas,28,Premier League,2016/2017,Midfielder,Hull City,3190,1543,1647,England,37,17,19,3,2,1,1,1,0,0,0,5,2,3,65,27,38,10,1,0.11,0.03,0.08,0.12,0.05,1063,1.83,49,86,290,3190,0.31,175,237,-1,4
Abel Mathías Hernández Platero,28,Premier League,2016/2017,Forward,Hull City,1427,815,612,Uruguay,24,10,6,4,3,1,3,3,0,0,0,4,2,2,21,9,12,0,0,0.44,0.19,0.25,0.33,0.15,357,1.32,68,59,0,476,0,73,62,-1,2
