full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Emerson Hyndman,22,Premier League,2017/2018,Midfielder,AFC Bournemouth,59,0,59,USA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.53,59,59,0,0,0,-1,-1,-1,22
Renato Sanches,21,Premier League,2017/2018,Midfielder,Swansea City,704,313,391,Portugal,12,4,5,0,0,0,0,0,0,0,0,2,1,1,8,4,4,1,0,0,0,0,0,0,0,1.02,88,59,704,0,0.13,261,296,-1,14
Pierre-Emerick Aubameyang,29,Premier League,2017/2018,Forward,Arsenal,1058,541,517,Gabon,13,6,6,10,7,3,4,3,1,1,1,4,3,1,13,5,8,0,0,1.19,0.34,0.85,1.16,0.52,106,1.11,81,81,0,265,0,4,11,-1,2
Jonas Lössl,29,Premier League,2017/2018,Goalkeeper,Huddersfield Town,3420,1710,1710,Denmark,38,19,19,0,0,0,1,1,0,0,0,10,7,3,56,24,32,1,0,0.03,0.03,0,0,0,0,1.47,61,90,3420,3420,0.03,312,235,127,9
Markus Suttner,31,Premier League,2017/2018,Defender,Brighton & Hove Albion,1178,720,458,Austria,14,8,5,0,0,0,0,0,0,0,0,4,3,1,17,9,8,0,0,0,0,0,0,0,0,1.3,69,84,0,0,0,410,411,85,21
Pascal Groß,27,Premier League,2017/2018,Midfielder,Brighton & Hove Albion,2949,1614,1335,Germany,38,19,16,7,7,0,8,6,2,1,0,10,5,5,44,21,23,2,0,0.46,0.24,0.21,0.39,0,421,1.34,67,78,1475,369,0.06,90,40,-1,2
Florent Hadergjonaj,24,Premier League,2017/2018,Defender,Huddersfield Town,1673,789,884,Switzerland,23,9,10,0,0,0,1,1,0,0,0,6,4,2,28,9,19,3,0,0.05,0.05,0,0,0,0,1.51,60,73,558,1673,0.16,256,192,138,12
Konstantinos Stafylidis,24,Premier League,2017/2018,Defender,Stoke City,335,180,155,Greece,5,2,2,0,0,0,0,0,0,0,0,1,0,1,6,4,2,0,0,0,0,0,0,0,0,1.61,56,67,0,0,0,252,247,154,17
Sead Kolašinac,25,Premier League,2017/2018,Defender,Arsenal,2151,1106,1045,Bosnia and Herzegovina,27,12,13,2,2,0,4,4,0,0,0,10,7,3,27,13,14,3,0,0.25,0.17,0.08,0.16,0,1076,1.13,80,80,717,538,0.13,171,68,60,12
Choupo-Moting,29,Premier League,2017/2018,Forward,Stoke City,2248,1203,1045,Cameroon,30,14,12,5,4,1,5,5,0,0,0,5,3,2,44,18,26,3,0,0.4,0.2,0.2,0.3,0.09,450,1.76,51,75,749,450,0.12,96,58,-1,3
